"Date(UTC)","BurntFees"
"09/24/2020","0.00987"
"09/25/2020","1.650405"
"09/26/2020","0"
"09/27/2020","0.84410778"
"09/28/2020","0.13003772"
"09/29/2020","0.76432669"
"09/30/2020","13.22542447"
"10/01/2020","84.48474268"
"10/02/2020","1.11728635"
"10/03/2020","0.00987"
"10/04/2020","0.3256677"
"10/05/2020","0"
"10/06/2020","0.2999399"
"10/07/2020","1.05526092"
"10/08/2020","2.58758263"
"10/09/2020","0"
"10/10/2020","0"
"10/11/2020","0.65986825"
"10/12/2020","0.11051063"
"10/13/2020","6.41660819"
"10/14/2020","0.2930027"
"10/15/2020","0.82745991"
"10/16/2020","0.09562573"
"10/17/2020","1.76227017"
"10/18/2020","0.24327576"
"10/19/2020","0.35549108"
"10/20/2020","0.30921018"
"10/21/2020","0.12590595"
"10/22/2020","0.04419034"
"10/23/2020","1.22240044"
"10/24/2020","0"
"10/25/2020","0"
"10/26/2020","0"
"10/27/2020","0.2585752"
"10/28/2020","0.68012854"
"10/29/2020","0.5930366"
"10/30/2020","0.05404906"
"10/31/2020","0"
"11/01/2020","0.13670185"
"11/02/2020","0.82569624"
"11/03/2020","0.92366351"
"11/04/2020","0.15584495"
"11/05/2020","0.19335095"
"11/06/2020","0.18819411"
"11/07/2020","0"
"11/08/2020","0.14723784"
"11/09/2020","2.47573722"
"11/10/2020","0.79904183"
"11/11/2020","0.437307"
"11/12/2020","4.869341"
"11/13/2020","2.97027544"
"11/14/2020","0.17748375"
"11/15/2020","0"
"11/16/2020","0.1996513"
"11/17/2020","0.25093253"
"11/18/2020","0.02122787"
"11/19/2020","0.0841347"
"11/20/2020","0.2021145"
"11/21/2020","0"
"11/22/2020","0"
"11/23/2020","0.02997519"
"11/24/2020","0"
"11/25/2020","0"
"11/26/2020","1.85946288"
"11/27/2020","0"
"11/28/2020","7.54603941"
"11/29/2020","0.2787758"
"11/30/2020","0"
"12/01/2020","0"
"12/02/2020","0"
"12/03/2020","0"
"12/04/2020","0"
"12/05/2020","0.17356254"
"12/06/2020","0.79346533"
"12/07/2020","0.81298109"
"12/08/2020","0.60794923"
"12/09/2020","2.62111198"
"12/10/2020","0.15198531"
"12/11/2020","0.77352788"
"12/12/2020","0"
"12/13/2020","0.14643649"
"12/14/2020","0.06194976"
"12/15/2020","0"
"12/16/2020","0.56371189"
"12/17/2020","0.02051127"
"12/18/2020","3.39180294"
"12/19/2020","2.85622478"
"12/20/2020","57.79816822"
"12/21/2020","64.70778204"
"12/22/2020","19.50317156"
"12/23/2020","0.02961"
"12/24/2020","0.02037"
"12/25/2020","0"
"12/26/2020","0"
"12/27/2020","0.00987"
"12/28/2020","8.27672909"
"12/29/2020","40.51933403"
"12/30/2020","41.21952546"
"12/31/2020","39.4704308"
"01/01/2021","36.88671495"
"01/02/2021","2.07194565"
"01/03/2021","2.67323827"
"01/04/2021","5.90600966"
"01/05/2021","0.00987"
"01/06/2021","8.95461343"
"01/07/2021","2.9065968"
"01/08/2021","84.31554278"
"01/09/2021","4.50517043"
"01/10/2021","0.09549037"
"01/11/2021","24.92225807"
"01/12/2021","9.19154842"
"01/13/2021","0.19326776"
"01/14/2021","0.68226798"
"01/15/2021","2.36698533"
"01/16/2021","2.11608758"
"01/17/2021","2.291084826"
"01/18/2021","0.53177586"
"01/19/2021","7.89664108"
"01/20/2021","3.27233552"
"01/21/2021","0.17351734"
"01/22/2021","3.07794069"
"01/23/2021","0.23856"
"01/24/2021","0.059325"
"01/25/2021","306.08237244"
"01/26/2021","175.36564236"
"01/27/2021","18.82827439"
"01/28/2021","20.3374884825"
"01/29/2021","496.300801539"
"01/30/2021","20.808553535"
"01/31/2021","3.9552369525"
"02/01/2021","18.61285258"
"02/02/2021","70.349499705"
"02/03/2021","307.2371095315"
"02/04/2021","205.69648636"
"02/05/2021","148.911208947"
"02/06/2021","120.470968995"
"02/07/2021","134.1930067775"
"02/08/2021","150.6362683925"
"02/09/2021","1764.97618832627"
"02/10/2021","1124.35778732196"
"02/11/2021","21.4124388165"
"02/12/2021","437.724549336"
"02/13/2021","422.9489307335"
"02/14/2021","444.82207340707"
"02/15/2021","747.2434634306"
"02/16/2021","624.484870535047"
"02/17/2021","1052.22025857905"
"02/18/2021","1319.30486894004"
"02/19/2021","1064.3653430242"
"02/20/2021","894.003002025581"
"02/21/2021","684.300850127"
"02/22/2021","697.548850431555"
"02/23/2021","538.556071335055"
"02/24/2021","578.327694457"
"02/25/2021","994.150317319921"
"02/26/2021","615.642455382"
"02/27/2021","624.34470711265"
"02/28/2021","651.3474614957"
"03/01/2021","664.547695809351"
"03/02/2021","691.888653165"
"03/03/2021","1225.72517078179"
"03/04/2021","1243.27781642056"
"03/05/2021","578.610144274277"
"03/06/2021","466.910857431273"
"03/07/2021","542.735443307687"
"03/08/2021","571.998085672439"
"03/09/2021","946.294698297725"
"03/10/2021","772.718473962716"
"03/11/2021","732.482649132036"
"03/12/2021","775.884917596145"
"03/13/2021","697.86346365209"
"03/14/2021","831.253624161022"
"03/15/2021","861.306702501575"
"03/16/2021","959.919074527564"
"03/17/2021","854.885082393345"
"03/18/2021","968.063287276386"
"03/19/2021","1198.57088390719"
"03/20/2021","1170.43910831977"
"03/21/2021","752.27537604136"
"03/22/2021","1245.67890228132"
"03/23/2021","909.810227944959"
"03/24/2021","559.056740428735"
"03/25/2021","483.893081174676"
"03/26/2021","445.379144257683"
"03/27/2021","487.472297386379"
"03/28/2021","4006.92829198995"
"03/29/2021","1668.34290293406"
"03/30/2021","1104.51329752265"
"03/31/2021","691.303814608682"
"04/01/2021","1499.89534047144"
"04/02/2021","900.029981065599"
"04/03/2021","674.457279820972"
"04/04/2021","543.337457956153"
"04/05/2021","763.387999362535"
"04/06/2021","730.0149400366"
"04/07/2021","652.451455564396"
"04/08/2021","619.208708740083"
"04/09/2021","467.92228064672"
"04/10/2021","418.875567981246"
"04/11/2021","304.178644030327"
"04/12/2021","423.047477610581"
"04/13/2021","348.988140065074"
"04/14/2021","509.830344530204"
"04/15/2021","441.264092158583"
"04/16/2021","344.843293642439"
"04/17/2021","350.856150323699"
"04/18/2021","520.081697116831"
"04/19/2021","638.730895737748"
"04/20/2021","1000.95219934215"
"04/21/2021","971.965382992991"
"04/22/2021","886.822911620222"
"04/23/2021","697.833636004012"
"04/24/2021","458.518218602959"
"04/25/2021","457.976370892712"
"04/26/2021","464.639388034019"
"04/27/2021","408.26670421381"
"04/28/2021","643.880155010142"
"04/29/2021","645.622838832727"
"04/30/2021","1469.70315091309"
"05/01/2021","2252.87033936673"
"05/02/2021","1469.21183032872"
"05/03/2021","1926.77439749866"
"05/04/2021","1361.73466120617"
"05/05/2021","1246.26628830339"
"05/06/2021","1473.91248492704"
"05/07/2021","1738.17930534636"
"05/08/2021","1448.23375398354"
"05/09/2021","1364.43218774995"
"05/10/2021","1383.50665106552"
"05/11/2021","1229.7275159681"
"05/12/2021","1364.36532875167"
"05/13/2021","1364.38283922758"
"05/14/2021","1987.53967519438"
"05/15/2021","1258.89528571667"
"05/16/2021","1247.51603339691"
"05/17/2021","1401.66624281449"
"05/18/2021","1094.44673572949"
"05/19/2021","1419.22828167147"
"05/20/2021","1015.36853673922"
"05/21/2021","893.31133809518"
"05/22/2021","732.532522918608"
"05/23/2021","1021.64843511101"
"05/24/2021","886.607999865271"
"05/25/2021","803.292854030953"
"05/26/2021","662.033664431937"
"05/27/2021","630.030104898885"
"05/28/2021","671.427370443345"
"05/29/2021","619.596948786036"
"05/30/2021","556.40260536249"
"05/31/2021","638.915634902423"
"06/01/2021","995.537011554014"
"06/02/2021","724.290086135105"
"06/03/2021","669.086004802138"
"06/04/2021","581.571345307522"
"06/05/2021","502.406569720916"
"06/06/2021","441.004613896143"
"06/07/2021","607.360322923309"
"06/08/2021","550.875458256"
"06/09/2021","530.624909787038"
"06/10/2021","518.786609531302"
"06/11/2021","514.26644455525"
"06/12/2021","461.34414561325"
"06/13/2021","511.872648474"
"06/14/2021","677.87129506925"
"06/15/2021","573.3896159925"
"06/16/2021","673.492219465078"
"06/17/2021","652.020159546862"
"06/18/2021","498.833105016381"
"06/19/2021","442.9450794075"
"06/20/2021","664.549852933736"
"06/21/2021","647.32323240925"
"06/22/2021","621.18320461575"
"06/23/2021","620.326919422"
"06/24/2021","644.214334580954"
"06/25/2021","957.609241348125"
"06/26/2021","783.582322570437"
"06/27/2021","611.508576274919"
"06/28/2021","368.404981006554"
"06/29/2021","2029.17422909265"
"06/30/2021","614.609967663893"
"07/01/2021","333.404218838082"
"07/02/2021","423.998247385596"
"07/03/2021","737.579731690311"
"07/04/2021","498.07393692892"
"07/05/2021","526.10677768675"
"07/06/2021","590.926181640428"
"07/07/2021","1379.8629045142"
"07/08/2021","867.447609160155"
"07/09/2021","643.134791063624"
"07/10/2021","431.892889489165"
"07/11/2021","462.37319967017"
"07/12/2021","568.570260444693"
"07/13/2021","517.27682617929"
"07/14/2021","578.966987531616"
"07/15/2021","505.329503736775"
"07/16/2021","545.65734461825"
"07/17/2021","470.6355245915"
