Date(UTC),UnixTimeStamp,Gas Used nAvax,Month,Year,Transactions,Gas Used Avax,,,,,,,,,
9/24/20,1600905600,21000,September,2020,1,0.000021,,,,,,,,,
9/25/20,1600992000,3511500,September,2020,6,0.0035115,,,,,,,,,
9/26/20,1601078400,0,September,2020,0,0,,,,,,,,,
9/27/20,1601164800,1795974,September,2020,1,0.001795974,,,,,,,,Row Labels,Sum of Gas Used Avax
9/28/20,1601251200,276676,September,2020,1,0.000276676,,,,,,,,2020,0.90705321
9/29/20,1601337600,1626227,September,2020,14,0.001626227,,,,,,,,September,0.035370578
9/30/20,1601424000,28139201,September,2020,31,0.028139201,,,,,,,,October,0.213627625
10/1/20,1601510400,172652124,October,2020,113,0.172652124,,,,,,,,November,0.052687019
10/2/20,1601596800,2377205,October,2020,7,0.002377205,,,,,,,,December,0.605367988
10/3/20,1601683200,21000,October,2020,1,0.000021,,,,,,,,2021,8341.56664
10/4/20,1601769600,692910,October,2020,8,0.00069291,,,,,,,,January,2.647178585
10/5/20,1601856000,0,October,2020,0,0,,,,,,,,February,34.70086636
10/6/20,1601942400,638170,October,2020,4,0.00063817,,,,,,,,March,62.55067221
10/7/20,1602028800,2245236,October,2020,25,0.002245236,,,,,,,,April,83.93475398
10/8/20,1602115200,5346021,October,2020,24,0.005346021,,,,,,,,May,162.1735447
10/9/20,1602201600,0,October,2020,0,0,,,,,,,,June,86.73306016
10/10/20,1602288000,0,October,2020,0,0,,,,,,,,July,73.49945883
10/11/20,1602374400,1403975,October,2020,2,0.001403975,,,,,,,,August,377.7065338
10/12/20,1602460800,235129,October,2020,3,0.000235129,,,,,,,,September,783.1929742
10/13/20,1602547200,13649677,October,2020,20,0.013649677,,,,,,,,October,1268.579546
10/14/20,1602633600,623410,October,2020,10,0.00062341,,,,,,,,November,2139.506409
10/15/20,1602720000,1760553,October,2020,10,0.001760553,,,,,,,,December,3266.341642
10/16/20,1602806400,203459,October,2020,3,0.000203459,,,,,,,,2022,23866.1833
10/17/20,1602892800,3749511,October,2020,31,0.003749511,,,,,,,,January,3212.35154
10/18/20,1602979200,517608,October,2020,2,0.000517608,,,,,,,,February,3798.043322
10/19/20,1603065600,756364,October,2020,6,0.000756364,,,,,,,,March,4662.360263
10/20/20,1603152000,657894,October,2020,9,0.000657894,,,,,,,,April,4673.135362
10/21/20,1603238400,267885,October,2020,5,0.000267885,,,,,,,,May,3044.765098
10/22/20,1603324800,94022,October,2020,2,0.000094022,,,,,,,,June,1417.163599
10/23/20,1603411200,2600852,October,2020,14,0.002600852,,,,,,,,July,1183.591326
10/24/20,1603497600,0,October,2020,0,0,,,,,,,,August,1149.349629
10/25/20,1603584000,0,October,2020,0,0,,,,,,,,September,725.4231613
10/26/20,1603670400,0,October,2020,0,0,,,,,,,,Grand Total,32208.65699
10/27/20,1603756800,550160,October,2020,8,0.00055016,,,,,,,,,
10/28/20,1603843200,1447082,October,2020,12,0.001447082,,,,,,,,,
10/29/20,1603929600,1024480,October,2020,14,0.00102448,,,,,,,,,
10/30/20,1604016000,112898,October,2020,3,0.000112898,,,,,,,,,
10/31/20,1604102400,0,October,2020,0,0,,,,,,,,,
11/1/20,1604188800,290855,November,2020,3,0.000290855,,,,,,,,,
11/2/20,1604275200,1750992,November,2020,25,0.001750992,,,,,,,,,
11/3/20,1604361600,1959433,November,2020,10,0.001959433,,,,,,,,,
11/4/20,1604448000,331585,November,2020,2,0.000331585,,,,,,,,,
11/5/20,1604534400,411385,November,2020,6,0.000411385,,,,,,,,,
11/6/20,1604620800,400413,November,2020,3,0.000400413,,,,,,,,,
11/7/20,1604707200,0,November,2020,0,0,,,,,,,,,
11/8/20,1604793600,313272,November,2020,3,0.000313272,,,,,,,,,
11/9/20,1604880000,5267526,November,2020,11,0.005267526,,,,,,,,,
11/10/20,1604966400,1700089,November,2020,22,0.001700089,,,,,,,,,
11/11/20,1605052800,929100,November,2020,10,0.0009291,,,,,,,,,
11/12/20,1605139200,10360300,November,2020,20,0.0103603,,,,,,,,,
11/13/20,1605225600,6315650,November,2020,25,0.00631565,,,,,,,,,
11/14/20,1605312000,377625,November,2020,4,0.000377625,,,,,,,,,
11/15/20,1605398400,0,November,2020,0,0,,,,,,,,,
11/16/20,1605484800,424790,November,2020,4,0.00042479,,,,,,,,,
11/17/20,1605571200,533899,November,2020,7,0.000533899,,,,,,,,,
11/18/20,1605657600,45121,November,2020,2,0.000045121,,,,,,,,,
11/19/20,1605744000,179010,November,2020,3,0.00017901,,,,,,,,,
11/20/20,1605830400,427350,November,2020,5,0.00042735,,,,,,,,,
11/21/20,1605916800,0,November,2020,0,0,,,,,,,,,
11/22/20,1606003200,0,November,2020,0,0,,,,,,,,,
11/23/20,1606089600,63777,November,2020,2,0.000063777,,,,,,,,,
11/24/20,1606176000,0,November,2020,0,0,,,,,,,,,
11/25/20,1606262400,0,November,2020,0,0,,,,,,,,,
11/26/20,1606348800,3956304,November,2020,7,0.003956304,,,,,,,,,
11/27/20,1606435200,0,November,2020,0,0,,,,,,,,,
11/28/20,1606521600,16055403,November,2020,60,0.016055403,,,,,,,,,
11/29/20,1606608000,593140,November,2020,4,0.00059314,,,,,,,,,
11/30/20,1606694400,0,November,2020,0,0,,,,,,,,,
12/1/20,1606780800,0,December,2020,0,0,,,,,,,,,
12/2/20,1606867200,0,December,2020,0,0,,,,,,,,,
12/3/20,1606953600,0,December,2020,0,0,,,,,,,,,
12/4/20,1607040000,0,December,2020,0,0,,,,,,,,,
12/5/20,1607126400,369282,December,2020,2,0.000369282,,,,,,,,,
12/6/20,1607212800,1684400,December,2020,17,0.0016844,,,,,,,,,
12/7/20,1607299200,1729747,December,2020,54,0.001729747,,,,,,,,,
12/8/20,1607385600,1293509,December,2020,11,0.001293509,,,,,,,,,
12/9/20,1607472000,5576834,December,2020,45,0.005576834,,,,,,,,,
12/10/20,1607558400,323373,December,2020,3,0.000323373,,,,,,,,,
12/11/20,1607644800,1645804,December,2020,2,0.001645804,,,,,,,,,
12/12/20,1607731200,0,December,2020,0,0,,,,,,,,,
12/13/20,1607817600,311567,December,2020,3,0.000311567,,,,,,,,,
