9/24/20,UnixTimeStamp,Gas Used nAvax,Month,Year,Transactions,Gas Used Avax,Price AVAX,Gas used in USD,BurntFees(Avax),Burn Fees in USD,Priority Fees,,,,,
9/25/20,1600905600,21000,September,2020,1,0.000021,4.59,0.00009639,0.00987,0.0453033,0.009849,,,,,
9/26/20,1600992000,3511500,September,2020,6,0.0035115,4.72,0.01657428,1.650405,7.7899116,1.6468935,,,,,
9/27/20,1601078400,0,September,2020,0,0,4.52,0,0,0,0,,,Row Labels,Sum of BurntFees(Avax),Sum of Burn Fees in USD
9/28/20,1601164800,1795974,September,2020,1,0.001795974,4.65,0.008351279,0.84410778,3.925101177,0.842311806,,,2020,429.8585321," $1,480.84 "
9/29/20,1601251200,276676,September,2020,1,0.000276676,4.21,0.001164806,0.13003772,0.547458801,0.129761044,,,January,39.4704308, $129.07 
9/30/20,1601337600,1626227,September,2020,14,0.001626227,4.14,0.00673258,0.76432669,3.164312497,0.762700463,,,September,3.39874719, $15.47 
10/1/20,1601424000,28139201,October,2020,31,0.028139201,4.33,0.12184274,13.22542447,57.26608796,13.19728527,,,October,117.1573834, $489.42 
10/2/20,1601510400,172652124,October,2020,113,0.172652124,4.16,0.718232836,84.48474268,351.4565295,84.31209056,,,November,24.77218987, $88.07 
10/3/20,1601596800,2377205,October,2020,7,0.002377205,3.91,0.009294872,1.11728635,4.368589629,1.114909145,,,December,245.0597809, $758.82 
10/4/20,1601683200,21000,October,2020,1,0.000021,4.02,0.00008442,0.00987,0.0396774,0.009849,,,2021,592378.0881," $40,908,987.18 "
10/5/20,1601769600,692910,October,2020,8,0.00069291,3.97,0.002750853,0.3256677,1.292900769,0.32497479,,,January,3852.013272," $299,076.00 "
10/6/20,1601856000,0,October,2020,0,0,3.99,0,0,0,0,,,February,15810.79736," $552,023.06 "
10/7/20,1601942400,638170,October,2020,4,0.00063817,3.54,0.002259122,0.2999399,1.061787246,0.29930173,,,March,29070.07356," $856,943.49 "
10/8/20,1602028800,2245236,October,2020,25,0.002245236,3.45,0.007746064,1.05526092,3.640650174,1.053015684,,,April,18479.18337," $534,409.10 "
10/9/20,1602115200,5346021,October,2020,24,0.005346021,3.92,0.020956402,2.58758263,10.14332391,2.582236609,,,May,37994.84537," $1,183,876.47 "
10/10/20,1602201600,0,October,2020,0,0,4.25,0,0,0,0,,,June,19714.37017," $278,259.02 "
10/11/20,1602288000,0,October,2020,0,0,4.03,0,0,0,0,,,July,16843.90859," $198,723.69 "
10/12/20,1602374400,1403975,October,2020,2,0.001403975,4.1,0.005756298,0.65986825,2.705459825,0.658464275,,,August,65712.10933," $2,472,664.99 "
10/13/20,1602460800,235129,October,2020,3,0.000235129,4.42,0.00103927,0.11051063,0.488456985,0.110275501,,,September,81731.85306," $4,574,359.25 "
10/14/20,1602547200,13649677,October,2020,20,0.013649677,4.48,0.061150553,6.41660819,28.74640469,6.402958513,,,October,49321.97791," $3,079,546.05 "
10/15/20,1602633600,623410,October,2020,10,0.00062341,4.16,0.002593386,0.2930027,1.218891232,0.29237929,,,November,127561.7539," $13,877,289.60 "
10/16/20,1602720000,1760553,October,2020,10,0.001760553,4.13,0.007271084,0.82745991,3.417409428,0.825699357,,,December,126285.2022," $13,001,816.46 "
10/17/20,1602806400,203459,October,2020,3,0.000203459,4.05,0.000824009,0.09562573,0.387284207,0.095422271,,,2022,1366246.972," $92,558,283.49 "
10/18/20,1602892800,3749511,October,2020,31,0.003749511,4.21,0.015785441,1.76227017,7.419157416,1.758520659,,,January,133997.3345," $10,810,997.44 "
