Date(UTC),UnixTimeStamp,Gas Used,Month,Year,Gas Used BSC,,,,,,,
8/29/20,1598659200,5681943,August,2020,0.05681943,,,,,,,
8/30/20,1598745600,3056068,August,2020,0.03056068,,,,,,,
8/31/20,1598832000,32640094,August,2020,0.32640094,,,,,,Row Labels,Sum of Gas Used BSC
9/1/20,1598918400,57753027,September,2020,0.57753027,,,,,,2020,21978.65677
9/2/20,1599004800,41813796,September,2020,0.41813796,,,,,,August,0.41378105
9/3/20,1599091200,618602004,September,2020,6.18602004,,,,,,September,2777.496312
9/4/20,1599177600,716887547,September,2020,7.16887547,,,,,,October,6350.351695
9/5/20,1599264000,242820631,September,2020,2.42820631,,,,,,November,5225.268344
9/6/20,1599350400,392147732,September,2020,3.92147732,,,,,,December,7625.12664
9/7/20,1599436800,512641544,September,2020,5.12641544,,,,,,2021,3096212.434
9/8/20,1599523200,1646094149,September,2020,16.46094149,,,,,,January,12973.50224
9/9/20,1599609600,1542653638,September,2020,15.42653638,,,,,,February,69304.17035
9/10/20,1599696000,1162431523,September,2020,11.62431523,,,,,,March,96617.07128
9/11/20,1599782400,2993299145,September,2020,29.93299145,,,,,,April,203176.547
9/12/20,1599868800,12972767710,September,2020,129.7276771,,,,,,May,303936.5248
9/13/20,1599955200,18255337420,September,2020,182.5533742,,,,,,June,187777.2709
9/14/20,1600041600,44365073393,September,2020,443.6507339,,,,,,July,288555.6467
9/15/20,1600128000,18175103048,September,2020,181.7510305,,,,,,August,374711.5913
9/16/20,1600214400,9532344295,September,2020,95.32344295,,,,,,September,256324.7695
9/17/20,1600300800,9844566092,September,2020,98.44566092,,,,,,October,349093.1707
9/18/20,1600387200,10809980594,September,2020,108.0998059,,,,,,November,578345.8932
9/19/20,1600473600,6291155740,September,2020,62.9115574,,,,,,December,375396.276
9/20/20,1600560000,5198801024,September,2020,51.98801024,,,,,,2022,1623869.771
9/21/20,1600646400,8154470609,September,2020,81.54470609,,,,,,January,270653.9605
9/22/20,1600732800,12193543246,September,2020,121.9354325,,,,,,February,228756.7684
9/23/20,1600819200,9560173864,September,2020,95.60173864,,,,,,March,213460.0759
9/24/20,1600905600,15602487454,September,2020,156.0248745,,,,,,April,203557.8632
9/25/20,1600992000,11247853864,September,2020,112.4785386,,,,,,May,191984.8304
9/26/20,1601078400,9763288939,September,2020,97.63288939,,,,,,June,153587.7393
9/27/20,1601164800,10396354342,September,2020,103.9635434,,,,,,July,146174.682
9/28/20,1601251200,17017495879,September,2020,170.1749588,,,,,,August,129469.7013
9/29/20,1601337600,20073233542,September,2020,200.7323354,,,,,,September,86224.15028
9/30/20,1601424000,18368455396,September,2020,183.684554,,,,,,Grand Total,4742060.862
10/1/20,1601510400,16282188759,October,2020,162.8218876,,,,,,,
10/2/20,1601596800,12530266823,October,2020,125.3026682,,,,,,,
10/3/20,1601683200,16278131652,October,2020,162.7813165,,,,,,,
10/4/20,1601769600,13200714363,October,2020,132.0071436,,,,,,,
10/5/20,1601856000,14055474035,October,2020,140.5547404,,,,,,,
10/6/20,1601942400,15809612016,October,2020,158.0961202,,,,,,,
10/7/20,1602028800,18288546714,October,2020,182.8854671,,,,,,,
10/8/20,1602115200,19669325312,October,2020,196.6932531,,,,,,,
10/9/20,1602201600,21192651371,October,2020,211.9265137,,,,,,,
10/10/20,1602288000,19648838764,October,2020,196.4883876,,,,,,,
10/11/20,1602374400,17222754390,October,2020,172.2275439,,,,,,,
10/12/20,1602460800,19361811207,October,2020,193.6181121,,,,,,,
10/13/20,1602547200,18156122650,October,2020,181.5612265,,,,,,,
10/14/20,1602633600,16400636946,October,2020,164.0063695,,,,,,,
10/15/20,1602720000,24644224595,October,2020,246.442246,,,,,,,
10/16/20,1602806400,22707565227,October,2020,227.0756523,,,,,,,
10/17/20,1602892800,30429534614,October,2020,304.2953461,,,,,,,
10/18/20,1602979200,23025772178,October,2020,230.2577218,,,,,,,
10/19/20,1603065600,23742170579,October,2020,237.4217058,,,,,,,
10/20/20,1603152000,32375099868,October,2020,323.7509987,,,,,,,
10/21/20,1603238400,21321263771,October,2020,213.2126377,,,,,,,
10/22/20,1603324800,18166304367,October,2020,181.6630437,,,,,,,
