Date(UTC),Month,Year,UnixTimeStamp,Transaction Fee (gWei?),BSC Token Transaction Fee,Price,Transaction Fee in USD,,,,
8/29/20,August,2020,1598659200,1.19289E+17,0.11928915,22.96,2.738878884,,,,
8/30/20,August,2020,1598745600,1.80821E+17,0.18082136,23.65,4.276425164,,,,
8/31/20,August,2020,1598832000,6.54711E+17,0.654710832,23.17,15.16964998,,,,
9/1/20,September,2020,1598918400,1.19751E+18,1.197506346,24.75,29.63828206,,Row Labels,Sum of BSC Token,Sum of Transaction Fee in USD
9/2/20,September,2020,1599004800,8.6119E+17,0.861189547,24.74,21.30582938,,2020,50087.64573,1492548.967
9/3/20,September,2020,1599091200,1.84732E+19,18.47320202,20.42,377.2227852,,August,0.954821342,22.18495403
9/4/20,September,2020,1599177600,1.85947E+19,18.59465856,21.01,390.6737763,,September,7415.949118,206830.3331
9/5/20,September,2020,1599264000,1.10776E+19,11.07758083,19.48,215.7912746,,October,14345.65456,424973.8795
9/6/20,September,2020,1599350400,8.19955E+18,8.199546804,23.2,190.2294859,,November,11434.26555,316948.7428
9/7/20,September,2020,1599436800,1.04915E+19,10.49147259,22.46,235.6384744,,December,16890.82169,543773.8262
9/8/20,September,2020,1599523200,3.30374E+19,33.03735381,23.24,767.7881025,,2021,2043188.467,907973371
9/9/20,September,2020,1599609600,3.09592E+19,30.95915016,24.47,757.5704043,,January,29792.86585,1249045.942
9/10/20,September,2020,1599696000,2.35488E+19,23.54879698,24.53,577.6519898,,February,87618.17972,15803888.99
9/11/20,September,2020,1599782400,7.80582E+19,78.05817235,25.43,1985.019323,,March,119843.9041,31346329.24
9/12/20,September,2020,1599868800,3.0764E+20,307.6398482,28.54,8780.041268,,April,157322.9342,77194820.53
9/13/20,September,2020,1599955200,4.44468E+20,444.468314,31.16,13849.63266,,May,224442.8329,115004370.1
9/14/20,September,2020,1600041600,1.77271E+21,1772.713781,31.19,55290.94284,,June,123354.1848,42175362.79
9/15/20,September,2020,1600128000,5.42842E+20,542.8421669,27.16,14743.59325,,July,180315.1246,55519364.27
9/16/20,September,2020,1600214400,2.29706E+20,229.7057899,27.86,6399.603308,,August,211297.2803,85694321.69
9/17/20,September,2020,1600300800,2.41453E+20,241.4529804,27.13,6550.619358,,September,148965.6072,62060695.04
9/18/20,September,2020,1600387200,2.6286E+20,262.8599446,27.68,7275.963266,,October,198130.6582,92953614.91
9/19/20,September,2020,1600473600,1.65814E+20,165.8143097,27.22,4513.46551,,November,335810.633,202405866.1
9/20/20,September,2020,1600560000,1.22466E+20,122.4663063,26.36,3228.211835,,December,226294.2625,126565691.3
9/21/20,September,2020,1600646400,1.91201E+20,191.2013446,23.05,4407.190994,,2022,983294.082,350626293.7
9/22/20,September,2020,1600732800,3.73327E+20,373.3266561,24.06,8982.239347,,January,160389.1695,71454596.23
9/23/20,September,2020,1600819200,2.11042E+20,211.0419198,22.83,4818.087029,,February,135036.0611,53526710.24
