Date(UTC),UnixTimeStamp,Block Count,Block Size,Block Time,Month,Year,,,,,,,,,
9/24/20,1600905600,2,802,45882.5,September,2020,,,,,,,,,
9/25/20,1600992000,10,2427,10585.5,September,2020,,,,,,,,,
9/26/20,1601078400,10,0,0,September,2020,,,,,,,,,
9/27/20,1601164800,2,4786,93056.5,September,2020,,,,,,Row Labels,Average of Block Count,Average of Block Time,Average of Block Size
9/28/20,1601251200,1,911,2079,September,2020,,,,,,2020,194.7777778,20512.94343,1018.979798
9/29/20,1601337600,17,910,9318.76,September,2020,,,,,,September,11.14285714,23371.72429,2060.285714
9/30/20,1601424000,36,4586,2679.81,September,2020,,,,,,October,15.03225806,16932.04613,1178.677419
10/1/20,1601510400,117,8061,712.44,October,2020,,,,,,November,9.6,18157.80533,828
10/2/20,1601596800,10,1625,7454,October,2020,,,,,,December,595.1935484,25727.47548,808.9677419
10/3/20,1601683200,1,716,80598,October,2020,,,,,,2021,24524.2274,361.0243836,1857.572603
10/4/20,1601769600,8,824,10345.5,October,2020,,,,,,January,495.3870968,4145.708065,1403.290323
10/5/20,1601856000,1,909,32081,October,2020,,,,,,February,12556.14286,67.31642857,1008.25
10/6/20,1601942400,4,931,35519.75,October,2020,,,,,,March,15788.90323,5.950322581,922.516129
10/7/20,1602028800,26,888,4281.85,October,2020,,,,,,April,15823.86667,5.981,961.6333333
10/8/20,1602115200,23,1661,714.3,October,2020,,,,,,May,25925.51613,3.639354839,1007.096774
10/9/20,1602201600,23,0,0,October,2020,,,,,,June,12338.3,7.272,962.3
10/10/20,1602288000,23,0,0,October,2020,,,,,,July,10066.41935,8.780967742,945.2580645
10/11/20,1602374400,3,2804,104681.67,October,2020,,,,,,August,27486.93548,5.188064516,1358.354839
10/12/20,1602460800,3,994,21301,October,2020,,,,,,September,45558.73333,1.916666667,1787.533333
10/13/20,1602547200,24,2879,4074,October,2020,,,,,,October,42213.16129,2.047096774,2548.129032
10/14/20,1602633600,11,956,9020,October,2020,,,,,,November,42693.33333,2.024333333,4009.533333
10/15/20,1602720000,10,1249,8845.9,October,2020,,,,,,December,42776.70968,2.015806452,5304.16129
10/16/20,1602806400,10,903,7713.9,October,2020,,,,,,2022,42169.38849,2.058417266,4418.532374
10/17/20,1602892800,31,1074,3083.55,October,2020,,,,,,January,43421.3871,1.990967742,5918.483871
10/18/20,1602979200,2,1151,31937,October,2020,,,,,,February,43019.96429,2.008571429,6704.428571
10/19/20,1603065600,13,975,7527.46,October,2020,,,,,,March,42252.77419,2.04516129,6134.322581
10/20/20,1603152000,11,1011,7352.64,October,2020,,,,,,April,42631.1,2.026666667,5775.066667
10/21/20,1603238400,7,832,13531.71,October,2020,,,,,,May,42714.64516,2.022903226,4856.870968
10/22/20,1603324800,2,778,52461.5,October,2020,,,,,,June,43260.93333,1.997,3096.566667
10/23/20,1603411200,16,1364,5462.13,October,2020,,,,,,July,42576.45161,2.029677419,2669.290323
10/24/20,1603497600,16,0,0,October,2020,,,,,,August,42698.22581,2.022903226,2471.548387
10/25/20,1603584000,16,0,0,October,2020,,,,,,September,36992.66667,2.382,2672.1
10/26/20,1603670400,16,0,0,October,2020,,,,,,October,41684.4,2.074,2150
10/27/20,1603756800,8,959,42022.88,October,2020,,,,,,Grand Total,27889.10512,2915.266226,2705.181941
10/28/20,1603843200,12,1071,4693.58,October,2020,,,,,,,,,
10/29/20,1603929600,13,1059,9030,October,2020,,,,,,,,,
10/30/20,1604016000,3,865,20447.67,October,2020,,,,,,,,,
10/31/20,1604102400,3,0,0,October,2020,,,,,,,,,
11/1/20,1604188800,3,1029,55443.67,November,2020,,,,,,,,,
11/2/20,1604275200,27,942,4622.44,November,2020,,,,,,,,,
11/3/20,1604361600,12,1304,6585.42,November,2020,,,,,,,,,
11/4/20,1604448000,2,933,40020,November,2020,,,,,,,,,
11/5/20,1604534400,6,791,17054.33,November,2020,,,,,,,,,
11/6/20,1604620800,3,1094,20148,November,2020,,,,,,,,,
11/7/20,1604707200,3,0,0,November,2020,,,,,,,,,
11/8/20,1604793600,3,1158,48578.67,November,2020,,,,,,,,,
11/9/20,1604880000,12,1046,11023.33,November,2020,,,,,,,,,
11/10/20,1604966400,23,994,3967.87,November,2020,,,,,,,,,
11/11/20,1605052800,11,985,7950.36,November,2020,,,,,,,,,
11/12/20,1605139200,20,2501,4233,November,2020,,,,,,,,,
11/13/20,1605225600,27,908,3103.67,November,2020,,,,,,,,,
11/14/20,1605312000,5,963,12394.8,November,2020,,,,,,,,,
11/15/20,1605398400,5,0,0,November,2020,,,,,,,,,
11/16/20,1605484800,5,1072,34816.8,November,2020,,,,,,,,,
11/17/20,1605571200,7,853,16349,November,2020,,,,,,,,,
11/18/20,1605657600,2,864,42224,November,2020,,,,,,,,,
11/19/20,1605744000,3,828,25652,November,2020,,,,,,,,,
11/20/20,1605830400,5,886,18048,November,2020,,,,,,,,,
11/21/20,1605916800,5,0,0,November,2020,,,,,,,,,
11/22/20,1606003200,5,0,0,November,2020,,,,,,,,,
11/23/20,1606089600,2,735,117404,November,2020,,,,,,,,,
11/24/20,1606176000,2,0,0,November,2020,,,,,,,,,
11/25/20,1606262400,2,0,0,November,2020,,,,,,,,,
11/26/20,1606348800,9,2689,29976.67,November,2020,,,,,,,,,
11/27/20,1606435200,9,0,0,November,2020,,,,,,,,,
11/28/20,1606521600,62,1518,2582.63,November,2020,,,,,,,,,
11/29/20,1606608000,4,747,22555.5,November,2020,,,,,,,,,
11/30/20,1606694400,4,0,0,November,2020,,,,,,,,,
12/1/20,1606780800,1,913,154715,December,2020,,,,,,,,,
12/2/20,1606867200,1,0,0,December,2020,,,,,,,,,
12/3/20,1606953600,1,910,172024,December,2020,,,,,,,,,
12/4/20,1607040000,1,0,0,December,2020,,,,,,,,,
12/5/20,1607126400,3,977,72839.67,December,2020,,,,,,,,,
12/6/20,1607212800,18,927,2881.39,December,2020,,,,,,,,,
12/7/20,1607299200,40,853,2624.9,December,2020,,,,,,,,,
12/8/20,1607385600,11,977,6702.55,December,2020,,,,,,,,,
12/9/20,1607472000,45,1046,2179.31,December,2020,,,,,,,,,
12/10/20,1607558400,4,875,7580,December,2020,,,,,,,,,
12/11/20,1607644800,2,4329,80491.5,December,2020,,,,,,,,,
12/12/20,1607731200,2,0,0,December,2020,,,,,,,,,
12/13/20,1607817600,3,1031,44893.67,December,2020,,,,,,,,,
12/14/20,1607904000,2,961,51151.5,December,2020,,,,,,,,,
12/15/20,1607990400,2,0,0,December,2020,,,,,,,,,
12/16/20,1608076800,26,815,7541.5,December,2020,,,,,,,,,
12/17/20,1608163200,1,750,38104,December,2020,,,,,,,,,
12/18/20,1608249600,52,987,2452.81,December,2020,,,,,,,,,
12/19/20,1608336000,179,824,533.08,December,2020,,,,,,,,,
12/20/20,1608422400,3850,783,22.44,December,2020,,,,,,,,,
12/21/20,1608508800,4300,783,20.09,December,2020,,,,,,,,,
12/22/20,1608595200,1305,782,57.58,December,2020,,,,,,,,,
12/23/20,1608681600,5,796,13091.4,December,2020,,,,,,,,,
12/24/20,1608768000,4,815,25565.25,December,2020,,,,,,,,,
12/25/20,1608854400,4,0,0,December,2020,,,,,,,,,
12/26/20,1608940800,4,0,0,December,2020,,,,,,,,,
12/27/20,1609027200,2,816,111731.5,December,2020,,,,,,,,,
12/28/20,1609113600,550,782,251.75,December,2020,,,,,,,,,
12/29/20,1609200000,2692,782,32.1,December,2020,,,,,,,,,
12/30/20,1609286400,2736,782,31.58,December,2020,,,,,,,,,
12/31/20,1609372800,2605,782,33.17,December,2020,,,,,,,,,
1/1/21,1609459200,1851,833,43.3,January,2021,,,,,,,,,
1/2/21,1609545600,12,1378,6013.25,January,2021,,,,,,,,,
1/3/21,1609632000,41,971,1931.02,January,2021,,,,,,,,,
1/4/21,1609718400,20,2762,4684.6,January,2021,,,,,,,,,
1/5/21,1609804800,3,848,33793.67,January,2021,,,,,,,,,
1/6/21,1609891200,45,1091,1969.2,January,2021,,,,,,,,,
1/7/21,1609977600,42,1281,2134,January,2021,,,,,,,,,
