Date(UTC),UnixTimeStamp,Block Size,Block Time,Block Count,Month,Year,,,,,
8/29/20,1598659200,616,3.01,24607,August,2020,,,,,
8/30/20,1598745600,613,3,28800,August,2020,,Row Labels,Average of Block Count,Average of Block Time,Average of Block Size
8/31/20,1598832000,626,3,28800,August,2020,,2020,28746.544,3.00152,2167.64
9/1/20,1598918400,628,3,28800,September,2020,,August,27402.33333,3.003333333,618.3333333
9/2/20,1599004800,626,3,28800,September,2020,,September,28800,3,1332.933333
9/3/20,1599091200,679,3,28800,September,2020,,October,28792.3871,3.000322581,2306.741935
9/4/20,1599177600,723,3,28800,September,2020,,November,28770.96667,3.002666667,1908.566667
9/5/20,1599264000,720,3,28800,September,2020,,December,28755.41935,3.002903226,3236.967742
9/6/20,1599350400,739,3,28800,September,2020,,2021,28428.33699,9.827945205,73397.83836
9/7/20,1599436800,765,3,28800,September,2020,,January,28787.3871,3.000967742,5961.16129
9/8/20,1599523200,849,3,28800,September,2020,,February,28581.25,3.022142857,28158.21429
9/9/20,1599609600,856,3,28800,September,2020,,March,28640.83871,3.015483871,40109.29032
9/10/20,1599696000,856,3,28800,September,2020,,April,28503.2,3.028333333,104572.6
9/11/20,1599782400,951,3,28800,September,2020,,May,28163.32258,83.00129032,124490.8065
9/12/20,1599868800,1581,3,28800,September,2020,,June,28648.03333,3.015333333,53030.13333
9/13/20,1599955200,1832,3,28800,September,2020,,July,28462.70968,3.035483871,62195.25806
9/14/20,1600041600,4022,3,28800,September,2020,,August,28294.22581,3.053548387,78156.93548
9/15/20,1600128000,1820,3,28800,September,2020,,September,28585.86667,3.022333333,66110.1
9/16/20,1600214400,1223,3,28800,September,2020,,October,28504.83871,3.03,88516.06452
9/17/20,1600300800,1469,3,28800,September,2020,,November,27585.96667,3.131666667,137851.0667
9/18/20,1600387200,1544,3,28800,September,2020,,December,28384.6129,3.045483871,89437.06452
9/19/20,1600473600,1010,3,28800,September,2020,,2022,28655.53957,17.82043165,47304.41007
9/20/20,1600560000,981,3,28800,September,2020,,January,28717.58065,3.008387097,64356.22581
9/21/20,1600646400,1271,3,28800,September,2020,,February,28729.17857,3.006428571,59104.35714
9/22/20,1600732800,1526,3,28800,September,2020,,March,28611.77419,3.02,55893.87097
9/23/20,1600819200,1326,3,28800,September,2020,,April,28623.73333,3.018666667,53438.36667
9/24/20,1600905600,1636,3,28800,September,2020,,May,28531.80645,3.027096774,54869.54839
