Date(UTC),UnixTimeStamp,Block Count,Block Size,Block Time,Month,Year,,,,,,,
4/24/20,1587686400,17262,758,5.01,April,2020,,,,,,,
4/25/20,1587772800,17244,731,5.01,April,2020,,,,Row Labels,Average of Block Count,Average of Block Time,Average of Block Size
4/26/20,1587859200,17204,732,5.02,April,2020,,,,2020,17278.18254,5.000198413,826.1071429
4/27/20,1587945600,17279,732,5,April,2020,,,,April,17261.14286,5.005714286,735.4285714
4/28/20,1588032000,17280,732,5,April,2020,,,,May,17279,5,755.483871
4/29/20,1588118400,17280,731,5,April,2020,,,,June,17279.36667,5,775.7666667
4/30/20,1588204800,17279,732,5,April,2020,,,,July,17278.87097,5,807.8387097
5/1/20,1588291200,17280,981,5,May,2020,,,,August,17278.19355,5,835.5806452
5/2/20,1588377600,17280,733,5,May,2020,,,,September,17278.2,5.000333333,859.0666667
5/3/20,1588464000,17280,733,5,May,2020,,,,October,17278.58065,5,871.6451613
5/4/20,1588550400,17280,732,5,May,2020,,,,November,17279.46667,5,831.2333333
5/5/20,1588636800,17280,734,5,May,2020,,,,December,17277.70968,5,892.3225806
5/6/20,1588723200,17280,736,5,May,2020,,,,2021,17278.48767,5.000136986,8542.534247
5/7/20,1588809600,17280,734,5,May,2020,,,,January,17278.48387,5,1057.225806
5/8/20,1588896000,17280,734,5,May,2020,,,,February,17278.21429,5,1059.535714
5/9/20,1588982400,17280,736,5,May,2020,,,,March,17278.41935,5,1078.677419
5/10/20,1589068800,17280,736,5,May,2020,,,,April,17277.66667,5,2777.633333
5/11/20,1589155200,17280,736,5,May,2020,,,,May,17279.22581,5,1800.935484
5/12/20,1589241600,17280,737,5,May,2020,,,,June,17279.73333,5,1289.966667
5/13/20,1589328000,17279,737,5,May,2020,,,,July,17279.70968,5,4069.677419
5/14/20,1589414400,17280,739,5,May,2020,,,,August,17279.35484,5.000322581,12361.06452
5/15/20,1589500800,17271,740,5,May,2020,,,,September,17279.8,5,16115.1
5/16/20,1589587200,17277,872,5,May,2020,,,,October,17278.64516,5,18940.74194
5/17/20,1589673600,17280,741,5,May,2020,,,,November,17274.4,5.001333333,21422.23333
5/18/20,1589760000,17275,742,5,May,2020,,,,December,17278.09677,5,20053.29032
5/19/20,1589846400,17280,742,5,May,2020,,,,2022,17179.2446,200.6010432,10481.61151
5/20/20,1589932800,17280,741,5,May,2020,,,,January,17277.83871,5,12347.64516
5/21/20,1590019200,17280,831,5,May,2020,,,,February,17279.17857,5,8352.25
5/22/20,1590105600,17280,740,5,May,2020,,,,March,16960.32258,1218.598065,5977
5/23/20,1590192000,17277,739,5,May,2020,,,,April,17279.6,5,6461.633333
5/24/20,1590278400,17280,739,5,May,2020,,,,May,17277.45161,5.000645161,9760.16129
5/25/20,1590364800,17280,740,5,May,2020,,,,June,17279.03333,5,7300.8
5/26/20,1590451200,17280,741,5,May,2020,,,,July,16703.90323,545.5009677,21840.29032
5/27/20,1590537600,17272,739,5,May,2020,,,,August,17279.64516,5,10408.3871
5/28/20,1590624000,17278,818,5,May,2020,,,,September,17279.4,5,11394.33333
5/29/20,1590710400,17280,739,5,May,2020,,,,October,17279.6,5,10996.8
5/30/20,1590796800,17280,739,5,May,2020,,,,Grand Total,17247.57542,65.75663687,6972.169832
5/31/20,1590883200,17280,739,5,May,2020,,,,,,,
6/1/20,1590969600,17275,739,5,June,2020,,,,,,,
6/2/20,1591056000,17277,739,5,June,2020,,,,,,,
6/3/20,1591142400,17279,739,5,June,2020,,,,,,,
6/4/20,1591228800,17280,739,5,June,2020,,,,,,,
6/5/20,1591315200,17280,739,5,June,2020,,,,,,,
6/6/20,1591401600,17280,739,5,June,2020,,,,,,,
6/7/20,1591488000,17279,739,5,June,2020,,,,,,,
6/8/20,1591574400,17280,739,5,June,2020,,,,,,,
6/9/20,1591660800,17280,741,5,June,2020,,,,,,,
6/10/20,1591747200,17279,739,5,June,2020,,,,,,,
6/11/20,1591833600,17276,738,5,June,2020,,,,,,,
6/12/20,1591920000,17280,739,5,June,2020,,,,,,,
6/13/20,1592006400,17279,881,5,June,2020,,,,,,,
6/14/20,1592092800,17280,790,5,June,2020,,,,,,,
6/15/20,1592179200,17280,793,5,June,2020,,,,,,,
6/16/20,1592265600,17280,792,5,June,2020,,,,,,,
6/17/20,1592352000,17280,791,5,June,2020,,,,,,,
6/18/20,1592438400,17280,788,5,June,2020,,,,,,,
6/19/20,1592524800,17280,795,5,June,2020,,,,,,,
6/20/20,1592611200,17280,792,5,June,2020,,,,,,,
6/21/20,1592697600,17280,794,5,June,2020,,,,,,,
6/22/20,1592784000,17279,793,5,June,2020,,,,,,,
6/23/20,1592870400,17280,790,5,June,2020,,,,,,,
