Date(UTC),UnixTimeStamp,Block Count,Block Size,Block Time,Month,Year,,,,,
11/9/21,1636416000,15622,7598,5.53,November,2021,,,,,
11/10/21,1636502400,15556,6594,5.55,November,2021,,,,,
11/11/21,1636588800,15433,12575,5.6,November,2021,,Row Labels,Average of Block Count,Average of Block Time,Average of Block Size
11/12/21,1636675200,15364,16868,5.62,November,2021,,2021,15157.84906,5.701509434,18658.90566
11/13/21,1636761600,15387,15542,5.62,November,2021,,November,15412.63636,5.605909091,17598.59091
11/14/21,1636848000,15208,24265,5.68,November,2021,,December,14977.03226,5.769354839,19411.3871
11/15/21,1636934400,15135,24656,5.71,November,2021,,2022,14874.05036,5.811546763,16398.19784
11/16/21,1637020800,15349,17602,5.63,November,2021,,January,14955.96774,5.778064516,16652.12903
11/17/21,1637107200,15305,17602,5.65,November,2021,,February,14745.35714,5.821071429,19354.10714
11/18/21,1637193600,15358,16595,5.63,November,2021,,March,14710.41935,5.873870968,20964.70968
11/19/21,1637280000,15412,15203,5.61,November,2021,,April,13728.83333,6.298666667,31938.23333
11/20/21,1637366400,15470,14317,5.59,November,2021,,May,14819.19355,5.832580645,18669.54839
11/21/21,1637452800,15528,14352,5.56,November,2021,,June,15176.86667,5.693666667,12736.93333
11/22/21,1637539200,15515,15956,5.57,November,2021,,July,15178.64516,5.691935484,10128.3871
11/23/21,1637625600,15485,18027,5.58,November,2021,,August,15238.64516,5.67,9957.741935
11/24/21,1637712000,15453,19775,5.59,November,2021,,September,15228.36667,5.674333333,8868.166667
11/25/21,1637798400,15540,14279,5.56,November,2021,,October,15221,5.676,8587.2
11/26/21,1637884800,15396,22831,5.61,November,2021,,Grand Total,14919.49245,5.793927492,16760.18429
11/27/21,1637971200,15388,23434,5.61,November,2021,,,,,
11/28/21,1638057600,15392,22678,5.61,November,2021,,,,,
11/29/21,1638144000,15393,23121,5.61,November,2021,,,,,
11/30/21,1638230400,15389,23299,5.61,November,2021,,,,,
12/1/21,1638316800,15380,23704,5.62,December,2021,,,,,
12/2/21,1638403200,15094,25290,5.72,December,2021,,,,,
12/3/21,1638489600,14945,23783,5.78,December,2021,,,,,
12/4/21,1638576000,14967,22417,5.77,December,2021,,,,,
12/5/21,1638662400,15017,20617,5.75,December,2021,,,,,
12/6/21,1638748800,15005,20298,5.76,December,2021,,,,,
12/7/21,1638835200,15058,15997,5.74,December,2021,,,,,
12/8/21,1638921600,15002,20277,5.76,December,2021,,,,,
12/9/21,1639008000,15010,19794,5.76,December,2021,,,,,
12/10/21,1639094400,15004,19762,5.76,December,2021,,,,,
12/11/21,1639180800,15014,18404,5.75,December,2021,,,,,
12/12/21,1639267200,14945,20969,5.78,December,2021,,,,,
12/13/21,1639353600,14826,22196,5.83,December,2021,,,,,
12/14/21,1639440000,14878,19549,5.81,December,2021,,,,,
12/15/21,1639526400,14875,18711,5.81,December,2021,,,,,
12/16/21,1639612800,14943,18207,5.78,December,2021,,,,,
12/17/21,1639699200,14920,19634,5.79,December,2021,,,,,
12/18/21,1639785600,14962,17025,5.77,December,2021,,,,,
12/19/21,1639872000,14937,17595,5.78,December,2021,,,,,
12/20/21,1639958400,14951,17306,5.78,December,2021,,,,,
12/21/21,1640044800,15012,16394,5.76,December,2021,,,,,
12/22/21,1640131200,15010,16683,5.76,December,2021,,,,,
12/23/21,1640217600,14822,22890,5.83,December,2021,,,,,
12/24/21,1640304000,14913,21007,5.79,December,2021,,,,,
12/25/21,1640390400,14984,17543,5.77,December,2021,,,,,
12/26/21,1640476800,14952,17860,5.78,December,2021,,,,,
12/27/21,1640563200,14958,18229,5.78,December,2021,,,,,
12/28/21,1640649600,14988,17392,5.76,December,2021,,,,,
12/29/21,1640736000,14959,18013,5.78,December,2021,,,,,
12/30/21,1640822400,14975,17109,5.77,December,2021,,,,,
12/31/21,1640908800,14982,17098,5.77,December,2021,,,,,
1/1/22,1640995200,15013,15654,5.76,January,2022,,,,,
1/2/22,1641081600,14934,19072,5.79,January,2022,,,,,
1/3/22,1641168000,14954,18397,5.78,January,2022,,,,,
1/4/22,1641254400,14926,18542,5.79,January,2022,,,,,
1/5/22,1641340800,14947,17346,5.78,January,2022,,,,,
1/6/22,1641427200,14971,15900,5.77,January,2022,,,,,
1/7/22,1641513600,14992,15627,5.76,January,2022,,,,,
1/8/22,1641600000,14970,14980,5.77,January,2022,,,,,
1/9/22,1641686400,14971,15622,5.77,January,2022,,,,,
1/10/22,1641772800,14955,16005,5.78,January,2022,,,,,
1/11/22,1641859200,14966,15067,5.77,January,2022,,,,,
1/12/22,1641945600,14956,15443,5.78,January,2022,,,,,
1/13/22,1642032000,14957,16143,5.78,January,2022,,,,,
1/14/22,1642118400,14974,15628,5.77,January,2022,,,,,
1/15/22,1642204800,14968,15686,5.77,January,2022,,,,,
1/16/22,1642291200,14941,15304,5.78,January,2022,,,,,
1/17/22,1642377600,15025,13444,5.75,January,2022,,,,,
