Date(UTC),UnixTimeStamp,Average Block Size,Block Time,Block Count,Month,Year, eth rev per day ,Block Size * Block Count,Cost Per Byte,,,
9/1/21,1630454400,77894,13.19,6455,September,2021,"$57,364,611.38 ",502805770,$0.11 ,,,
9/2/21,1630540800,73326,13,6541,September,2021,"$44,158,931.02 ",479625366,$0.09 ,,Row Labels,Average of Cost Per Byte
9/3/21,1630627200,71969,13.17,6466,September,2021,"$62,729,429.11 ",465351554,$0.13 ,,2021,0.096885246
9/4/21,1630713600,74381,13.23,6429,September,2021,"$48,456,684.30 ",478195449,$0.10 ,,September,0.070333333
9/5/21,1630800000,72251,13.09,6529,September,2021,"$45,940,912.56 ",471726779,$0.10 ,,October,0.094193548
9/6/21,1630886400,73325,13.21,6459,September,2021,"$48,036,354.61 ",473606175,$0.10 ,,November,0.142
9/7/21,1630972800,76559,13.25,6417,September,2021,"$72,541,678.92 ",491279103,$0.15 ,,December,0.081612903
9/8/21,1631059200,67792,13.16,6495,September,2021,"$58,047,278.12 ",440309040,$0.13 ,,2022,0.026226415
9/9/21,1631145600,72831,13.16,6466,September,2021,"$57,823,112.37 ",470925246,$0.12 ,,January,0.075806452
9/10/21,1631232000,72270,13.2,6459,September,2021,"$34,969,651.92 ",466791930,$0.07 ,,February,0.043571429
9/11/21,1631318400,76406,13.34,6396,September,2021,"$22,160,856.88 ",488692776,$0.05 ,,March,0.025483871
9/12/21,1631404800,80369,13.04,6538,September,2021,"$22,609,028.23 ",525452522,$0.04 ,,April,0.040666667
9/13/21,1631491200,76077,13.28,6412,September,2021,"$28,984,426.75 ",487805724,$0.06 ,,May,0.018387097
9/14/21,1631577600,78372,13.17,6461,September,2021,"$29,676,125.51 ",506361492,$0.06 ,,June,0.010666667
9/15/21,1631664000,77512,13.23,6454,September,2021,"$26,395,989.35 ",500262448,$0.05 ,,July,0.008064516
9/16/21,1631750400,84901,13.1,6492,September,2021,"$33,470,716.69 ",551177292,$0.06 ,,August,0.00483871
9/17/21,1631836800,79592,13.18,6467,September,2021,"$26,874,264.35 ",514721464,$0.05 ,,September,0.003636364
9/18/21,1631923200,77766,13.2,6451,September,2021,"$19,438,779.98 ",501668466,$0.04 ,,October,#DIV/0!
9/19/21,1632009600,82861,13.1,6508,September,2021,"$23,906,977.69 ",539259388,$0.04 ,,Grand Total,0.048501292
9/20/21,1632096000,86585,13.2,6432,September,2021,"$27,671,681.17 ",556914720,$0.05 ,,,
9/21/21,1632182400,84718,13.12,6496,September,2021,"$29,451,675.13 ",550328128,$0.05 ,,,
9/22/21,1632268800,84006,13.27,6437,September,2021,"$22,184,644.61 ",540746622,$0.04 ,,,
9/23/21,1632355200,82225,13.29,6411,September,2021,"$29,913,315.74 ",527144475,$0.06 ,,,
9/24/21,1632441600,87100,13.21,6455,September,2021,"$22,407,052.42 ",562230500,$0.04 ,,,
9/25/21,1632528000,82295,12.97,6573,September,2021,"$14,719,786.44 ",540925035,$0.03 ,,,
9/26/21,1632614400,85681,13.31,6402,September,2021,"$22,810,990.15 ",548529762,$0.04 ,,,
9/27/21,1632700800,86369,13.23,6454,September,2021,"$50,510,952.62 ",557425526,$0.09 ,,,
9/28/21,1632787200,89477,13.43,6358,September,2021,"$26,519,880.25 ",568894766,$0.05 ,,,
9/29/21,1632873600,87285,13.23,6412,September,2021,"$24,276,767.29 ",559671420,$0.04 ,,,
9/30/21,1632960000,82913,13.47,6338,September,2021,"$35,344,961.68 ",525502594,$0.07 ,,,
10/1/21,1633046400,81217,13.14,6485,October,2021,"$29,992,546.02 ",526692245,$0.06 ,,,
10/2/21,1633132800,81231,13.36,6388,October,2021,"$22,782,494.42 ",518903628,$0.04 ,,,
