Date(UTC),UnixTimeStamp,Block Time,Block Size,Block Count,Month,Year,,,,
8/29/20,1598659200,3.01,1473,5062,August,2020,,,,
8/30/20,1598745600,3,1471,6315,August,2020,Row Labels,Average of Block Count,Average of Block Time,Average of Block Size
8/31/20,1598832000,3,1472,8538,August,2020,2020,8873.072,3.00152,1921.216
9/1/20,1598918400,3,1531,6051,September,2020,August,6638.333333,3.003333333,1472
9/2/20,1599004800,3,1475,9370,September,2020,September,9410.6,3,1697.666667
9/3/20,1599091200,3,1475,7231,September,2020,October,8594.935484,3.000322581,2115.322581
9/4/20,1599177600,3,1475,5805,September,2020,November,8161.5,3.002666667,2081.733333
9/5/20,1599264000,3,1473,5927,September,2020,December,9535.903226,3.002903226,1831.580645
9/6/20,1599350400,3,1475,6358,September,2020,2021,67711.97534,9.827945205,2831.106849
9/7/20,1599436800,3,1473,5802,September,2020,January,12434.19355,3.000967742,1792.903226
9/8/20,1599523200,3,1474,6007,September,2020,February,17412.92857,3.022142857,1810.071429
9/9/20,1599609600,3,1473,6181,September,2020,March,23029.70968,3.015483871,2134.225806
9/10/20,1599696000,3,1574,4865,September,2020,April,47582.53333,3.028333333,1946.1
9/11/20,1599782400,3,1519,8324,September,2020,May,113453.2903,83.00129032,2325.322581
9/12/20,1599868800,3,1519,6992,September,2020,June,86031.9,3.015333333,2349.266667
9/13/20,1599955200,3,1517,5770,September,2020,July,78185.90323,3.035483871,2054.677419
9/14/20,1600041600,3,1513,6403,September,2020,August,83174.25806,3.053548387,2365.064516
9/15/20,1600128000,3,1515,4626,September,2020,September,66853.66667,3.022333333,6115.2
9/16/20,1600214400,3,1745,3986,September,2020,October,86034.12903,3.03,4033.193548
9/17/20,1600300800,3,2233,4302,September,2020,November,97555.76667,3.131666667,3604.2
9/18/20,1600387200,3,1809,18533,September,2020,December,96804.41935,3.045483871,3431.032258
9/19/20,1600473600,3,1749,20864,September,2020,2022,78736.79496,17.82043165,6051.26259
9/20/20,1600560000,3,1839,14824,September,2020,January,97004.80645,3.008387097,4866.258065
9/21/20,1600646400,3,1862,13889,September,2020,February,92776.71429,3.006428571,5619.5
9/22/20,1600732800,3,1829,15267,September,2020,March,86798.09677,3.02,5645.870968
9/23/20,1600819200,3,1844,14746,September,2020,April,79410.63333,3.018666667,5167.2
9/24/20,1600905600,3,1908,12151,September,2020,May,71034.09677,3.027096774,7481
9/25/20,1600992000,3,1909,12070,September,2020,June,74135.26667,69.34866667,7561.333333
9/26/20,1601078400,3,1943,11097,September,2020,July,72104.67742,3.005806452,7007.612903
9/27/20,1601164800,3,1934,11416,September,2020,August,68916.74194,71.5816129,6151.129032
9/28/20,1601251200,3,1900,12452,September,2020,September,67579.1,3.023,5360.266667
9/29/20,1601337600,3,1993,10044,September,2020,October,77144,3.052,3306.6
9/30/20,1601424000,3,1952,10965,September,2020,Grand Total,62126.08594,11.60998698,3848.641927
10/1/20,1601510400,3,2018,9551,October,2020,,,,
10/2/20,1601596800,3,1990,10145,October,2020,,,,
10/3/20,1601683200,3,2097,8815,October,2020,,,,
10/4/20,1601769600,3,2043,9182,October,2020,,,,
10/5/20,1601856000,3,2010,9765,October,2020,,,,
10/6/20,1601942400,3,2024,9426,October,2020,,,,
10/7/20,1602028800,3,2071,8657,October,2020,,,,
10/8/20,1602115200,3,2093,8311,October,2020,,,,
10/9/20,1602201600,3,2000,9958,October,2020,,,,
10/10/20,1602288000,3,2082,8519,October,2020,,,,
10/11/20,1602374400,3,2126,7915,October,2020,,,,
10/12/20,1602460800,3,2082,8482,October,2020,,,,
10/13/20,1602547200,3,2169,7471,October,2020,,,,
10/14/20,1602633600,3,2203,7254,October,2020,,,,
10/15/20,1602720000,3,1949,13866,October,2020,,,,
10/16/20,1602806400,3,1954,13350,October,2020,,,,
10/17/20,1602892800,3,2030,10298,October,2020,,,,
10/18/20,1602979200,3,2079,8937,October,2020,,,,
10/19/20,1603065600,3,2131,8283,October,2020,,,,
10/20/20,1603152000,3,2061,9164,October,2020,,,,
10/21/20,1603238400,3,2154,7902,October,2020,,,,
10/22/20,1603324800,3.01,2137,7969,October,2020,,,,
10/23/20,1603411200,3,2219,7051,October,2020,,,,
10/24/20,1603497600,3,2246,6734,October,2020,,,,
10/25/20,1603584000,3,2189,7277,October,2020,,,,
10/26/20,1603670400,3,2179,7515,October,2020,,,,
10/27/20,1603756800,3,2163,7660,October,2020,,,,
10/28/20,1603843200,3,2178,7517,October,2020,,,,
10/29/20,1603929600,3,2176,7660,October,2020,,,,
10/30/20,1604016000,3,2343,6181,October,2020,,,,
10/31/20,1604102400,3,2379,5628,October,2020,,,,
11/1/20,1604188800,3,2390,5905,November,2020,,,,
11/2/20,1604275200,3,2220,6879,November,2020,,,,
11/3/20,1604361600,3,2190,7216,November,2020,,,,
11/4/20,1604448000,3,2234,6760,November,2020,,,,
11/5/20,1604534400,3,2271,6403,November,2020,,,,
11/6/20,1604620800,3,2160,7729,November,2020,,,,
11/7/20,1604707200,3,2091,8726,November,2020,,,,
11/8/20,1604793600,3,2157,7606,November,2020,,,,
11/9/20,1604880000,3,2226,7177,November,2020,,,,
11/10/20,1604966400,3.01,2314,7442,November,2020,,,,
11/11/20,1605052800,3,2000,10457,November,2020,,,,
11/12/20,1605139200,3,1989,11037,November,2020,,,,
11/13/20,1605225600,3,2137,8070,November,2020,,,,
11/14/20,1605312000,3,2152,7905,November,2020,,,,
11/15/20,1605398400,3,2252,6721,November,2020,,,,
11/16/20,1605484800,3.01,2155,7790,November,2020,,,,
11/17/20,1605571200,3.01,1992,10254,November,2020,,,,
11/18/20,1605657600,3,2080,8794,November,2020,,,,
11/19/20,1605744000,3.01,2166,7641,November,2020,,,,
11/20/20,1605830400,3,2176,7517,November,2020,,,,
11/21/20,1605916800,3.01,2156,7743,November,2020,,,,
11/22/20,1606003200,3,2219,7130,November,2020,,,,
