Date(UTC),UnixTimeStamp,Block Count,Block Size,Block Time,Month,Year,,,,,
5/31/20,1590883200,41890,613,2.06,May,2020,,,,,
6/1/20,1590969600,41892,614,2.06,June,2020,,Row Labels,Average of Block Count,Average of Block Time,Average of Block Size
6/2/20,1591056000,41890,614,2.06,June,2020,,2020,41863.56279,2.061534884,787.9953488
6/3/20,1591142400,41892,614,2.06,June,2020,,May,41890,2.06,613
6/4/20,1591228800,41890,614,2.06,June,2020,,June,41890.93333,2.06,614.1
6/5/20,1591315200,41892,614,2.06,June,2020,,July,41890.83871,2.06,617.5483871
6/6/20,1591401600,41890,614,2.06,June,2020,,August,41875.22581,2.060967742,632.2580645
6/7/20,1591488000,41892,614,2.06,June,2020,,September,41858.03333,2.062,696.2333333
6/8/20,1591574400,41890,614,2.06,June,2020,,October,41879,2.060967742,725.0322581
6/9/20,1591660800,41890,614,2.06,June,2020,,November,41883,2.060333333,789.1
6/10/20,1591747200,41892,614,2.06,June,2020,,December,41768.3871,2.066451613,1438.806452
6/11/20,1591833600,41890,614,2.06,June,2020,,2021,38869.19178,2.240136986,49034.11233
6/12/20,1591920000,41892,614,2.06,June,2020,,January,41028.70968,2.108387097,1547.129032
6/13/20,1592006400,41890,614,2.06,June,2020,,February,41648.5,2.073928571,1967.607143
6/14/20,1592092800,41892,614,2.06,June,2020,,March,40673,2.12483871,3136.322581
6/15/20,1592179200,41890,614,2.06,June,2020,,April,40787.76667,2.118333333,6888.166667
6/16/20,1592265600,41892,614,2.06,June,2020,,May,40049.48387,2.160322581,42859.90323
6/17/20,1592352000,41890,614,2.06,June,2020,,June,38876.76667,2.233666667,75017.23333
6/18/20,1592438400,41892,614,2.06,June,2020,,July,36540.41935,2.383870968,81400.32258
6/19/20,1592524800,41890,614,2.06,June,2020,,August,36420.09677,2.42,69587.90323
6/20/20,1592611200,41890,615,2.06,June,2020,,September,36411.73333,2.394333333,87062
6/21/20,1592697600,41892,614,2.06,June,2020,,October,36729,2.371935484,73159.83871
6/22/20,1592784000,41890,614,2.06,June,2020,,November,38510.5,2.253,72554.96667
