,compound,swapr-ethereum,swapr-xdai,swapr-arbitrum,polymarket,balancer-v1,balancerv2,balancerv2-polygon,balancerv2-arbitrum,pangolin,maker,bsc,polkadot,kusama,liquity,curve-ethereum,curve-arbitrum,curve-polygon,curve-avalanche,curve-fantom,curve-xdai,curve-optimism,osmosis,solana,abracadabra-ethereum,abracadabra-fantom,abracadabra-avalanche,abracadabra-bsc,abracadabra-arbitrum-one,polygon-pos,terra-tx-fees,terra-swap-fees,velodrome,arbitrum-one,hop-optimism,hop-gnosis-chain,hop-arbitrum,hop-polygon,sushiswap-ethereum,sushiswap-polygon,sushiswap-fantom,sushiswap-arbitrum-one,sushiswap-avalanche,sushiswap-binance,aave-v1,aave-v2,aave-v2-amm,aave-v2-polygon-proto,aave-v3-polygon-proto,aave-v2-avalanche-proto,aave-v3-avalanche-proto,aave-v3-optimism-proto,aave-v3-arbitrum-proto,aave-v3-fantom-proto,aave-v3-harmony-proto,synthetix-ethereum,synthetix-optimism,synthetix-optimism-futures,ribbon,near,optimism,gnosis-chain,honeyswap,quickswap,evmos,eos,fantom,ren,trader-joe,terraswap,lyra,eth,btc,ltc,ada,xtz,bsv,bch,xrp,doge,xmr,xlm,dcr,etc,avalanche-p-chain,avalanche-c-chain,avalanche-x-chain,mycelium-arbitrum,spookyswap,kyberswap-ethereum,kyberswap-arbitrum-one,kyberswap-aurora,kyberswap-avalanche,kyberswap-binance,kyberswap-bittorrent,kyberswap-cronos,kyberswap-fantom,kyberswap-oasis,kyberswap-optimism,kyberswap-polygon,kyberswap-velas,uniswap-v1,uniswap-v2,uniswap-v3,uniswap-optimism,uniswap-arbitrum,uniswap-polygon,tornado-ethereum,gmx-arbitrum,gmx-avax,ens
2022-01-01,714615.1628501108,64.50016816523086,390.21750118559504,326.2518468184937,1997.7346200002357,18508.16469925642,41716.81629650295,20102.704004715197,2991.8246213779785,57936.33737698358,391062.39883053314,2303642.6308105197,7301.780513515333,19.74717764100017,6623.332639916798,745225.5851001773,3782.3220474306377,12074.188838409864,3782.3220474306377,9249.379378135707,,,186568.04238,217385.31306414268,1128544.7256575376,10451.999255035771,27111.40585100744,219.5007984780459,3492.5576364116278,189196.0160244854,56320.27666387833,28581.228546289,,106246.89679830839,5366.390928811628,361.61639924207054,13101.659505942442,8290.833755634249,1014381.1706556777,124129.57043612043,5338.214706408555,135861.78047746886,13740.31951124294,1069.5517671619489,19725.022712720904,651239.3497704389,2351.594355207202,410986.24088096863,,26852518326182.5,,,,,,882.126879295052,3320.7302637734915,5487.1875355747125,0.0,19739.548391257515,61444.353477887766,5518.089747587616,1277.5417193576488,316081.93888981565,,2354.362714945718,50302.21191681451,21965.530384668542,707200.1912036213,97581.450257988,0,30741693.267411746,437068.32634653733,1993.0676561745845,31603.964789940077,2050.7728383913773,3084.048044759482,386.4428734518244,1427.997664023755,5535.869670787996,363.39495655135636,48.8421331790518,166.89938438881737,150.6927439302053,56.129614246304776,261375.70946324672,422.4630497257033,,378492.64617011213,1389.7269472877958,0,0,987.2852682206275,988.0596702081447,0,1.420199664825724,173.9651769413441,0,0,1733.0643999835472,0,359.6960513505205,981628.5588638544,2058516.746480691,7423.720729029756,25852.118008376783,48751.82501126726,9140.484746925533,69159.27464813949,,197947.0802062638
2022-01-02,686887.539355182,31.0737668708623,423.3447972593637,724.0189951306168,2795.295332000125,16021.685057088733,51056.1980419755,14085.39556013234,5199.821554182563,95234.25701578653,389400.86151575594,2635855.314527032,8464.049662438356,23.36761531833276,5487.024551285211,334846.8594479933,4048.312971070924,14703.123790008263,4048.312971070924,8384.243486712227,,,167810.7666200001,230861.61312461254,236356.63181444257,8687.308394488646,23952.333588794805,257.52013199323846,3811.7298143720254,132649.4949628546,62507.61175572528,49304.554153439,,114009.99583366315,4505.01466780814,731.1442263628144,16493.54228591897,7188.031040176777,764311.8358358593,125221.70490821401,4605.923413317568,137631.8561035713,64088.991242462645,1079.065655313689,6819.468344214802,662321.3828678511,1068.245096131862,418657.7645997946,,26776192148046.664,,,,,,367.2780066461729,1778.3198403965334,5487.1875355747125,0.0,21096.27018059254,69408.68177530369,4835.325857101851,1564.2127958418946,171769.37452206956,,2441.6388279668367,69930.59984929087,15070.373306286614,1049717.0821533531,100608.52661652901,0,39454260.10376443,434546.54590763245,2047.5153598438765,32796.82085669651,2606.576502864954,4426.633341418722,461.6139193804613,1614.680810444387,5955.756902139862,542.3902326999057,56.659002411839445,133.17754270812816,150.26362107257182,56.44046620092421,345084.0904490866,1454.7729700289938,,320029.7465816505,2379.6784658446813,0,0,1167.8035687800996,1533.1731550977734,0,0.7002746846242602,109.01596815677033,0,0,2128.617320344743,0,184.92198578379794,911927.2594916347,2110515.922948542,8882.356856704431,74668.01973927103,37827.877333277516,29069.554728209972,59107.87461565032,1.1569917784850603,166018.6542767547
2022-01-03,711021.3811249364,62.35258337687825,907.0322695556689,377.88954342931106,2748.8975579999387,25469.811551481485,118483.25523556024,20071.99326827936,5331.1825904936995,115046.66804374123,389173.8314228519,2903907.146507082,7730.389379857706,23.477159202231185,9912.077215053141,424701.48678937124,5585.035576281703,13101.270862603576,5585.035576281703,20616.912463379987,,,244806.82003,184233.18048126868,243713.65670149773,46708.16995354183,29168.33126570843,1126.1674066603518,4921.067709584255,250080.70213734216,83022.67606821508,1642662.2377755,,129044.98517258451,5964.668370212139,462.9810227537571,16257.166486732775,7396.782236832775,1069220.1061074852,150863.13722262645,7619.952307925362,172131.89025894986,30351.422691554548,1045.7638723017012,14611.266182633432,702115.51765403,2266.4187109162235,449142.208725876,,27332746235913.97,,,,,,45302.566939261684,2771.8446965826843,5487.1875355747125,0.0,27790.55561656443,108303.74540629589,8371.548200553312,1743.5890946979403,205757.4625900873,,2561.2269986738743,162969.3137132644,7942.984792234796,1204765.374340771,202655.06575796398,0,39679661.61955156,556991.023338803,2271.0931730892034,33281.83929151643,2498.583755162338,4035.2710937193638,376.1995197313108,1888.8755800347521,6002.239890441618,675.7004562427642,51.92037004956254,165.25951568581542,176.31150673811482,53.78533596686515,427322.699048377,1379.98451893764,,606176.0629364661,2548.168606775531,0,0,1639.5889766385424,1739.7194789922721,0,2.970549885484496,912.1398688028823,0,0,2354.354643875406,0,431.9112775773759,1190452.3677642827,2619230.0904029147,9818.833105898937,58533.90331626971,51208.47785780594,29183.70858384017,267376.9039207943,9.168159750616738,170548.2219822444
2022-01-04,706786.9626487242,45.37433656643888,1459.7125018672104,385.56760600794246,1800.4382750000805,28421.692316114902,88309.76732230932,15560.649890423752,5007.947234569117,91643.2168162251,388885.2997959469,2851263.9453715673,8855.250960661102,31.761435595907425,28511.131932233453,382467.7896445616,8436.937254346389,20298.73464512569,8436.937254346389,14686.114212531098,,,327430.92217,198592.91561697682,343518.63481461257,29140.789304418955,32456.77999216877,318.75881248411315,155438.4835122705,622250.9347029077,82220.0621892603,1178563.42768386,,190639.5810658485,4070.0817687660133,600.1745799415041,19201.51339316731,5063.929563722659,988522.4495764414,102572.59285091363,5871.593351195887,193526.09827143417,66015.86966233468,1125.6006773236606,10584.709372852061,663654.5838880504,1669.0896568631515,431133.1351595593,,26629787160648.914,,,,,,14167.960319796257,2906.2840789979664,5487.1875355747125,0.0,35890.97978183266,134623.788100339,7745.604178049126,2137.484561021201,186207.69346399014,,2557.4186228917947,199640.21653692535,11491.352789508683,1186653.7844584202,197562.714103353,0,50280010.52085703,605788.9614566913,2337.241093214983,38357.87874739141,3301.8749093165607,2829.0144798518313,340.2138509600768,1753.604341789311,6714.897074930599,635.5858155834264,49.223996026159575,165.88696228307026,167.9984476333605,49.16165154688207,337488.4503231886,1663.8511909217216,,729977.7536765895,1406.1342092903117,0,0,1695.132019905664,604.1228324832057,0,2.4863688287112597,487.78499048376915,0,0,1820.7682736830718,0,258.58598990232997,1182529.3562605537,2805284.817671987,12949.624868142804,62104.04922995396,56568.17731586618,20752.882482824847,206969.71251055886,3.6715462000421963,195321.96923798695
2022-01-05,728832.9249526351,253.35502849664783,1597.4418006051508,500.7250777421544,1198.1733109997585,25251.755028396845,57989.0603441596,33371.69495107792,8699.914416236337,137862.57782545566,387447.8018959896,2929756.5243211994,11.154805702861243,0.05984475788576806,18273.87423117459,637351.4538879909,13984.848209420343,27232.49879050713,13984.848209420343,30398.4529960291,,,295533.9215600003,188185.5891575485,203280.63502597064,31165.647449255688,62657.13212079462,482.1479272024735,25651.15289280913,902869.6592964432,91727.66492536015,413327.500694045,,204803.04420703134,4326.210693367644,855.7248813666969,21917.202716684165,7990.229605681768,1779049.8975498714,211682.2568824585,10789.839732548753,340484.63848068553,68525.08965593525,1549.223328119536,7355.43413624343,669330.8676225304,2325.966997204256,479713.2975764851,,26318052049341.152,,,,,,11433.066824433125,35366.65228350569,5487.1875355747125,0.0,41341.22321621115,206099.95296608243,23372.97689189429,3093.8883626383526,417488.43658931344,,2527.9200066430726,366959.65227084776,12828.225743720575,1587865.3514374804,403344.10043866496,0,52037727.35329328,719238.8997838106,2081.240563830148,46061.28815085668,8737.63219490938,2832.274586722544,372.20999606085536,1559.5599614985204,6299.183877925766,555.151176002601,49.68702367503201,149.6815304142183,175.90097469580672,66.34508920354193,427213.8316339607,493.11663480124736,,1323995.332966027,4582.308338312799,0,0,1646.1259880576156,940.2352673914698,0,24.9173411912092,437.03736226601427,0,0,2072.0018094240536,0,475.5049346862217,1888068.2274050836,4140383.630023989,27705.29258013202,93678.45281092447,68444.16008375249,28981.291958870366,535205.9921862021,3.139147843645946,181579.9735165313
2022-01-06,685156.0985838519,126.3413819425552,1369.7722602229278,332.934198959039,2200.8109559998848,25123.051775857806,210591.3802955225,33106.58955935575,8010.7357014834415,88686.68851271135,382028.1234418158,2489315.1984063336,9.911314895917682,0.03769595258371756,30710.466608387418,569052.2055602022,12597.07916370824,15683.553927985029,12597.07916370824,26830.101794496746,,,241215.5321599999,151734.47065639863,180470.46892300993,36746.13256585132,132282.18103443738,485.50052150525516,6144.890753417509,708715.8983120681,84501.71091911968,605846.893802573,,177217.3539876966,5184.436135400832,482.9947578298654,18147.651370713385,6534.660254672855,1327884.4266538601,144035.8311176366,7525.90039662207,266333.5655746324,65250.61967845972,790.6064738396459,5092.544757736152,634289.981568326,443.84567231518486,510381.0905512357,,25225059444950.703,,,,,,83876.54194012734,3168.300358992987,5487.1875355747125,0.0,36593.42407884721,154459.81283242212,13727.830315814319,2690.4550867880143,325778.4849119931,,1378.661132778363,236174.5999385075,12318.108438369045,1113831.4047260787,333515.602649529,0,45591364.870668195,621394.4212065706,2045.4473919386717,53792.40615504102,5225.943990827383,2713.172269503039,297.2966929452624,1493.114283587471,5948.183760664175,510.46138122953886,41.43801540358753,137.07949336069663,181.81763211507229,37.71876365872751,315154.1647821661,373.5434539525387,,963940.3757310641,12882.92954138893,0,0,949.8238613675474,1567.5262747715487,0,3.5519599533383523,222.2998680942287,0,0,2560.093914230307,0,652.7580236222809,1455786.0941767453,3709286.1500939466,35637.446350076054,83753.52100943122,66357.66902221269,39865.03900508396,272088.54482881835,48658.75444375304,159098.28801523894
2022-01-07,666366.8652219322,564.6498365698696,1271.0903706529753,532.5164882229565,906.7651290004142,19902.95201778412,258790.6025448963,41102.34861616697,15411.684340581298,143910.69125447673,374878.9641316079,2411785.524606141,9.664228433042524,0.026811396716020456,43497.38375592859,663623.8595028582,20343.018888271014,22195.563612292623,20343.018888271014,24847.66494278613,,,456715.1708299996,103325.16397953515,450280.9285386354,19603.125263706548,33805.63309541624,2493.2553518266322,10009.02652170742,604051.3070327733,99553.06114075909,575544.535412285,,177496.11771969576,8375.166449946559,527.8095266242074,15713.213724194104,8631.132462422062,1592776.2662122664,178276.77708774907,4154.308519289621,344405.5059034812,61599.60161061238,687.6750589053139,20261.471057387156,650152.8822186727,231.5738371941622,487774.3393752668,,243145.086718148,,,,,,17196.798710156072,23886.267578948984,5487.1875355747125,651187.4242971666,31916.97369052681,202145.7545315128,22982.733153632184,1977.509378375752,370546.84514214814,,1413.3251995184621,182944.59039570903,21280.971437546003,1366812.1412404287,417282.674296704,0,47824669.78696715,592552.3737338835,2008.1829435431375,45267.52880962729,4559.628318280184,3078.8880984734824,326.9358287708763,1902.1805670273043,6029.763971395647,1189.9078414195696,51.69810365286509,102.51707300852387,177.49294065749083,45.091568652717754,517752.8433289133,504.57656388360033,,957262.6613216283,22094.081116884452,0,0,2718.3407572443093,1154.3126903869932,0,10.020937852637559,507.3253786223805,0,0,3221.7896840826047,0,1428.2359165363384,1697039.2005680108,4182450.7524465052,45816.54860921969,108481.32717422632,63799.83487037067,28337.408962593414,387631.89620544936,25462.098394520646,126868.77683971822
2022-01-08,670292.8152331164,119.02402747248436,994.8867987193088,283.8359221684528,459.5085259997286,21630.385326579213,65483.1011018008,29372.33698550891,11149.982398805209,94205.09352034051,370311.0659777098,2126271.8440997642,3820.5586860214526,125.72294001721212,17010.836371238336,331176.08153214847,12806.936163656328,16061.805845481036,12806.936163656328,21266.42967738536,,,282373.72964,131550.7466061591,389159.679855451,11126.206776307896,56992.823545168154,1230.7536141615565,11353.56721837935,182665.8672786376,81760.68711310315,158484.772389585,,132220.67858369596,5240.407425212516,537.4663622465562,12411.59440434374,6668.265218035578,918734.7192580431,106112.44686716245,6556.18290509928,290943.3821814589,65762.13342581452,934.4812216027775,6139.6813691029565,604915.5224019624,561.8028159262265,409774.5913609514,,240719.89987699888,,,,,,5580.7071019422265,17632.05981245931,5487.1875355747125,0.0,29496.115001810922,94002.98681487567,12827.389237898069,4022.250125094266,261918.36788792931,,1402.7589961807917,179768.844326002,11283.674890172204,1123817.9714971695,325558.64874702,0,36740400.77923152,409672.44797019387,1862.4362583162042,38519.88137874594,2426.3775982819357,3266.0732885129933,295.9880057722698,1461.9576291806513,5847.41865777157,371.4763645016354,54.50411027683352,161.28713859041255,156.4977309033149,36.81665067525122,293005.5487336039,359.25757194288775,,874803.557951428,7440.854003405699,0,0,1261.2320295696532,1462.9039897496623,0,10.888995367856026,439.5795562387284,0,0,3255.803358284235,0,465.68133267908684,1107987.352436629,2890256.0082776495,19118.534248680713,69556.1760231597,55474.100181836104,24093.951438604854,246712.8915607087,29385.674370692064,169668.034746062
2022-01-09,661892.1365771978,76.86296908424146,941.5672588431777,247.0093950242975,505.4176489999518,13096.566387489438,200829.08435433358,20500.287017351948,4558.2809504708275,91868.05640279605,367064.3488722543,1805230.8527728412,3714.4362445277225,47.966534537492315,7071.844910781831,306194.59422621387,8802.790044401085,14183.415968198911,8802.790044401085,12181.141192987163,,,288226.9727,160286.96905067496,314427.7614310682,9985.918613448506,26296.215187642723,217.24256445690116,3323.4384720937815,79393.42361547147,65742.77532001692,366139.372445698,,68685.8989643496,2567.055551404307,404.2566326230908,6644.381467380385,3308.6774990414806,548457.8664099199,69626.67265534327,3195.9135849799454,124066.81127824,40911.945489623344,517.9929776005705,4601.3803446998645,608702.9524779591,402.934537665634,388630.03810516506,,236117.70607823093,,,,,,4135.775083556591,9534.257916437738,5487.1875355747125,0.0,23759.621583200023,97793.81568339228,5949.868002549884,2359.1055251183475,184924.59731673446,,1271.656321515624,80752.85829278917,4450.042743481675,840081.400933651,154178.760405405,0,48157919.36018527,316084.4198296761,1864.2166324427385,43657.18847223135,4281.944331710322,2881.6644633472465,259.98210492543416,1249.5164073940568,5296.665809240311,467.9374048572304,50.20940764294851,131.60185622445192,163.19759135845447,44.552972239239175,259148.1108302879,309.6263446203578,,530457.2374186564,1329.8544245995993,0,0,986.8000019572929,482.517983952,0,3.603180494940095,214.92395832679097,0,0,3036.1638824801157,0,716.7275297573914,750871.5531736595,1934654.9166493546,11225.668917727393,44764.02753064434,51461.51682957482,26116.100819804706,72900.35283759567,98428.06611859928,145738.08262691647
2022-01-10,633856.5239377184,64.71894281404717,1289.0531199072163,337.47948172745976,607.7269990001805,12243.167430266738,36992.247930176556,32732.598427131772,9459.524390742881,97010.46685364196,364531.1345360383,2241321.7858695216,3874.6262507403844,144.782161957489,1082.3921284750104,420889.5440888731,13490.156986485932,24576.7084564969,13490.156986485932,15048.799221103744,,,280329.7041700001,152213.49604533694,202511.28631715477,12752.997262190096,31455.433254576288,243.47264340602487,7023.212844664464,136787.86083204267,83955.28233324329,1060444.56590726,,171757.60125359992,6175.605234026405,882.4824394123393,17912.576735169638,8116.775035601556,1543969.8443386594,117712.70211852975,5905.6407225555495,263094.4178854709,68637.5889193683,609.5883484293948,21756.783040237406,616166.4020717497,292.7727114230699,406721.99380003655,,231038.8758448082,,,,,,9294.323053865652,6720.359560838496,5487.1875355747125,0.0,27509.36570486395,173671.98848696734,18797.611092027146,1954.314472276385,268731.5338812476,,1297.356898483733,116628.14614787287,4296.829389442372,1049814.7477617613,276775.880023302,0,64299546.97694313,481492.49803047196,2203.3133206680104,37167.59092869588,4570.13731417366,2590.7154369451314,352.9038807965712,1296.8865426941593,40702.38799456513,485.84303367641394,121.43167154547592,93.5235281541777,182.48406862477808,39.63178953576732,293021.2356011967,390.22617759532153,,688997.9612221929,1408.972984753189,0,0,1217.5888501066602,991.5643291689421,0,15.8930217770183,345.9862525889736,0,0,4378.748789205486,0,361.0190067611795,1241353.5560074965,5192403.911361257,18848.609300372093,140938.4136267554,77719.90483455885,39079.331967350096,249821.82678744878,156577.03271875117,131030.98689834401
