Date(UTC),UnixTimeStamp,Fee (FTM*10^18),Fee In FTM,FTM Price,Fee in USD,Month,Year,,,,,,,,,
8/28/20,1598572800,1.49046E+18,1.490461818,0.03, $0.04 ,August,2020,,,,,,,Row Labels,Sum of Fee In FTM,Sum of Fee in USD
8/29/20,1598659200,8.31448E+17,0.831447977,0.03, $0.02 ,August,2020,,,,,,,1900,,0
8/30/20,1598745600,1.52251E+18,1.522510646,0.04, $0.06 ,August,2020,,,,,,,January,,0
8/31/20,1598832000,2.15178E+18,2.151780235,0.04, $0.09 ,August,2020,,,,,,,2020,1871.534963, $39.84 
9/1/20,1598918400,1.07538E+18,1.075379512,0.04, $0.04 ,September,2020,,,,,,,August,5.996200675, $0.22 
9/2/20,1599004800,2.3411E+19,23.41097407,0.06, $1.40 ,September,2020,,,,,,,September,80.56095989, $3.53 
9/3/20,1599091200,1.20732E+18,1.207315981,0.04, $0.05 ,September,2020,,,,,,,October,59.52933302, $1.62 
9/4/20,1599177600,8.44214E+17,0.844214433,0.05, $0.04 ,September,2020,,,,,,,November,213.7139833, $4.25 
9/5/20,1599264000,7.57842E+17,0.757841514,0.03, $0.02 ,September,2020,,,,,,,December,1511.734486, $30.23 
9/6/20,1599350400,8.16887E+17,0.816887243,0.03, $0.02 ,September,2020,,,,,,,2021,5254781.66," $8,918,555.31 "
9/7/20,1599436800,8.10838E+17,0.810837503,0.03, $0.02 ,September,2020,,,,,,,January,2255.930872, $131.47 
9/8/20,1599523200,7.60694E+17,0.760694299,0.03, $0.02 ,September,2020,,,,,,,February,2944.954204, $924.71 
9/9/20,1599609600,7.56163E+17,0.756163489,0.03, $0.02 ,September,2020,,,,,,,March,2892.15936," $1,240.51 "
9/10/20,1599696000,5.49422E+17,0.549422429,0.03, $0.02 ,September,2020,,,,,,,April,7938.667645," $3,019.00 "
9/11/20,1599782400,1.90454E+18,1.904542519,0.03, $0.06 ,September,2020,,,,,,,May,185553.0457," $73,785.71 "
9/12/20,1599868800,1.78067E+18,1.780666784,0.03, $0.05 ,September,2020,,,,,,,June,147040.5833," $41,532.25 "
9/13/20,1599955200,1.39509E+18,1.395093303,0.03, $0.04 ,September,2020,,,,,,,July,176541.7883," $38,101.28 "
9/14/20,1600041600,1.58195E+18,1.581953645,0.03, $0.05 ,September,2020,,,,,,,August,267257.5207," $142,487.20 "
9/15/20,1600128000,1.07471E+18,1.074714977,0.03, $0.03 ,September,2020,,,,,,,September,995921.0986," $1,281,219.76 "
9/16/20,1600214400,1.04739E+18,1.047387579,0.03, $0.03 ,September,2020,,,,,,,October,1302223.206," $2,957,406.34 "
9/17/20,1600300800,9.9547E+17,0.995470404,0.03, $0.03 ,September,2020,,,,,,,November,1002647.78," $2,419,151.92 "
