Date(UTC),UnixTimeStamp,Transaction Fee (Gwei),Month,Year,Transaction Fee in MATIC,,,,,
5/31/20,1590883200,0,May,2020,0,,,,,
6/1/20,1590969600,0,June,2020,0,,,,Row Labels,Sum of Transaction Fee in MATIC
6/2/20,1591056000,0,June,2020,0,,,,2020,752.4039642
6/3/20,1591142400,0,June,2020,0,,,,May,0
6/4/20,1591228800,0,June,2020,0,,,,June,0.015817515
6/5/20,1591315200,0,June,2020,0,,,,July,1.392117653
6/6/20,1591401600,0,June,2020,0,,,,August,15.63089655
6/7/20,1591488000,0,June,2020,0,,,,September,81.40531391
6/8/20,1591574400,0,June,2020,0,,,,October,141.7421304
6/9/20,1591660800,0,June,2020,0,,,,November,96.06633362
6/10/20,1591747200,0,June,2020,0,,,,December,416.1513545
6/11/20,1591833600,0,June,2020,0,,,,2021,145593.359
6/12/20,1591920000,164541,June,2020,0.000164541,,,,January,408.1477579
6/13/20,1592006400,0,June,2020,0,,,,February,541.4181263
6/14/20,1592092800,0,June,2020,0,,,,March,1286.419219
6/15/20,1592179200,75792,June,2020,0.000075792,,,,April,2167.779039
6/16/20,1592265600,31027,June,2020,0.000031027,,,,May,11919.96438
6/17/20,1592352000,0,June,2020,0,,,,June,19433.72325
6/18/20,1592438400,353970,June,2020,0.00035397,,,,July,19512.72118
6/19/20,1592524800,341692,June,2020,0.000341692,,,,August,19177.07047
6/20/20,1592611200,1334119,June,2020,0.001334119,,,,September,21028.46722
6/21/20,1592697600,335828,June,2020,0.000335828,,,,October,16314.86521
6/22/20,1592784000,0,June,2020,0,,,,November,17108.09878
6/23/20,1592870400,187308,June,2020,0.000187308,,,,December,16694.68439
6/24/20,1592956800,0,June,2020,0,,,,2022,131478.1107
6/25/20,1593043200,0,June,2020,0,,,,January,15507.92578
6/26/20,1593129600,0,June,2020,0,,,,February,13354.96694
6/27/20,1593216000,21000,June,2020,0.000021,,,,March,13451.1957
6/28/20,1593302400,0,June,2020,0,,,,April,15576.61325
6/29/20,1593388800,31091,June,2020,0.000031091,,,,May,16902.91966
6/30/20,1593475200,12941147,June,2020,0.012941147,,,,June,15927.64379
7/1/20,1593561600,0,July,2020,0,,,,July,15859.39741
7/2/20,1593648000,69027,July,2020,0.000069027,,,,August,15200.58372
7/3/20,1593734400,15056033,July,2020,0.015056033,,,,September,9696.864446
7/4/20,1593820800,67689,July,2020,0.000067689,,,,Grand Total,277823.8737
7/5/20,1593907200,51849,July,2020,0.000051849,,,,,
7/6/20,1593993600,1070812,July,2020,0.001070812,,,,,
7/7/20,1594080000,15598417,July,2020,0.015598417,,,,,
7/8/20,1594166400,1773566,July,2020,0.001773566,,,,,
7/9/20,1594252800,4902112,July,2020,0.004902112,,,,,
7/10/20,1594339200,0,July,2020,0,,,,,
7/11/20,1594425600,3934749,July,2020,0.003934749,,,,,
7/12/20,1594512000,424991,July,2020,0.000424991,,,,,
7/13/20,1594598400,168317,July,2020,0.000168317,,,,,
7/14/20,1594684800,0,July,2020,0,,,,,
7/15/20,1594771200,160320,July,2020,0.00016032,,,,,
7/16/20,1594857600,15836981,July,2020,0.015836981,,,,,
7/17/20,1594944000,11914088,July,2020,0.011914088,,,,,
7/18/20,1595030400,63000,July,2020,0.000063,,,,,
7/19/20,1595116800,160614068,July,2020,0.160614068,,,,,
7/20/20,1595203200,131508483,July,2020,0.131508483,,,,,
7/21/20,1595289600,70024442,July,2020,0.070024442,,,,,
7/22/20,1595376000,50585628,July,2020,0.050585628,,,,,
7/23/20,1595462400,162576691,July,2020,0.162576691,,,,,
7/24/20,1595548800,218014018,July,2020,0.218014018,,,,,
7/25/20,1595635200,42982385,July,2020,0.042982385,,,,,
7/26/20,1595721600,68257913,July,2020,0.068257913,,,,,
7/27/20,1595808000,243382454,July,2020,0.243382454,,,,,
7/28/20,1595894400,46321749,July,2020,0.046321749,,,,,
7/29/20,1595980800,29843012,July,2020,0.029843012,,,,,
7/30/20,1596067200,56875739,July,2020,0.056875739,,,,,
7/31/20,1596153600,40039120,July,2020,0.04003912,,,,,
8/1/20,1596240000,123129720,August,2020,0.12312972,,,,,
8/2/20,1596326400,32272331,August,2020,0.032272331,,,,,
