Date(UTC),UnixTimeStamp,Transaction Fee (?),Month,Year,Transaction Fee,Price in USD,Transaction Fee in USD,,,,,,,,,
5/31/20,1590883200,0,May,2020,0,0.02,0,,,,,,,,,
6/1/20,1590969600,0,June,2020,0,0.02,0,,,,,,,,,
6/2/20,1591056000,0,June,2020,0,0.02,0,,,,,,,,,
6/3/20,1591142400,0,June,2020,0,0.02,0,,,,,,,,,
6/4/20,1591228800,0,June,2020,0,0.02,0,,,,,,,,,
6/5/20,1591315200,0,June,2020,0,0.02,0,,,,,,,,,
6/6/20,1591401600,0,June,2020,0,0.02,0,,,,,,,Row Labels,Sum of Transaction Fee, Sum of Transaction Fee in USD 
6/7/20,1591488000,0,June,2020,0,0.02,0,,,,,,,2020,1141.730366, $22.50 
6/8/20,1591574400,0,June,2020,0,0.02,0,,,,,,,May,0, $-   
6/9/20,1591660800,0,June,2020,0,0.02,0,,,,,,,June,0.239767978, $0.00 
6/10/20,1591747200,0,June,2020,0,0.02,0,,,,,,,July,7.1204262, $0.14 
6/11/20,1591833600,0,June,2020,0,0.02,0,,,,,,,August,38.38371977, $0.99 
6/12/20,1591920000,1.64541E+14,June,2020,0.000164541,0.02,3.29082E-06,,,,,,,September,187.2826419, $3.76 
6/13/20,1592006400,0,June,2020,0,0.02,0,,,,,,,October,241.2292371, $4.65 
6/14/20,1592092800,0,June,2020,0,0.02,0,,,,,,,November,186.8726568, $3.34 
6/15/20,1592179200,8.94792E+14,June,2020,0.000894792,0.02,1.78958E-05,,,,,,,December,480.6019162, $9.61 
6/16/20,1592265600,3.1027E+13,June,2020,0.000031027,0.02,6.2054E-07,,,,,,,2021,6260905.012," $10,212,351.80 "
6/17/20,1592352000,0,June,2020,0,0.02,0,,,,,,,January,724.5007433, $23.17 
6/18/20,1592438400,8.74344E+15,June,2020,0.008743437,0.02,0.000174869,,,,,,,February,2378.732379, $371.65 
6/19/20,1592524800,1.13268E+16,June,2020,0.011326844,0.02,0.000226537,,,,,,,March,19219.06857," $6,002.49 "
6/20/20,1592611200,2.32533E+16,June,2020,0.023253336,0.02,0.000465067,,,,,,,April,25799.78812," $14,396.04 "
6/21/20,1592697600,4.91152E+15,June,2020,0.004911524,0.02,9.82305E-05,,,,,,,May,59496.51188," $86,379.88 "
6/22/20,1592784000,0,June,2020,0,0.02,0,,,,,,,June,248005.8617," $323,243.74 "
6/23/20,1592870400,2.69724E+15,June,2020,0.002697235,0.02,5.39447E-05,,,,,,,July,588584.9189," $553,879.59 "
6/24/20,1592956800,0,June,2020,0,0.02,0,,,,,,,August,687730.8442," $930,853.48 "
6/25/20,1593043200,0,June,2020,0,0.02,0,,,,,,,September,836905.2848," $1,081,236.93 "
