dateDayStr,newTransactionSeen,newTrigger,trx_transfer,trc10_transfer,freeze_and_unfreeze_transaction,vote_transaction,other_transaction
2018-06-25,3081,0,2407,3,210,252,209
2018-06-26,1948,0,777,0,391,658,122
2018-06-27,2103,0,780,2,442,809,70
2018-06-28,2334,0,1336,14,357,576,51
2018-06-29,1397,0,686,2,295,395,19
2018-06-30,1789,0,836,55,335,532,31
2018-07-01,1669,0,782,33,316,513,25
2018-07-02,4051,0,2983,22,345,514,187
2018-07-03,1983,0,855,40,347,658,83
2018-07-04,2453,0,1273,26,423,672,59
2018-07-05,4752,0,2104,703,635,1159,151
2018-07-06,3301,0,1602,304,541,829,25
2018-07-07,3045,0,1330,803,323,566,23
2018-07-08,3969,0,1239,1680,395,595,60
2018-07-09,6449,0,4595,452,512,850,40
2018-07-10,11908,0,4126,88,1991,5361,342
2018-07-11,11216,0,4078,1527,1614,3740,257
2018-07-12,17985,0,11613,1150,1364,3620,238
2018-07-13,11989,0,4136,2701,1168,3696,288
2018-07-14,15679,0,4826,4078,1491,4993,291
2018-07-15,18393,0,6409,4581,2028,4992,383
2018-07-16,26248,0,12160,5795,2456,5403,434
2018-07-17,20532,0,8347,5206,2380,4215,384
2018-07-18,21941,0,9092,6044,2242,4199,364
2018-07-19,49518,0,11321,31468,2098,4280,351
2018-07-20,25814,0,8980,10999,1975,3613,247
2018-07-21,22364,0,7580,9508,1770,3279,227
2018-07-22,21551,0,8262,8070,1709,3143,367
2018-07-23,26209,0,14239,6280,2061,3360,269
2018-07-24,31909,0,17699,7977,2073,3892,268
2018-07-25,41615,0,19107,16764,1870,3605,269
2018-07-26,29733,0,18571,5310,1897,3745,210
2018-07-27,28635,0,17509,5628,1784,3523,191
2018-07-28,28332,0,17905,4958,1658,3571,240
2018-07-29,29182,0,18412,4969,1851,3788,162
2018-07-30,30619,0,21735,2856,1981,3838,209
2018-07-31,30096,0,20200,4073,1968,3658,197
2018-08-01,37702,0,25088,5945,2242,4093,334
2018-08-02,37568,0,24439,5750,1947,5156,276
2018-08-03,39230,0,25411,7781,1859,3815,364
2018-08-04,52730,0,28436,18125,1903,3919,347
2018-08-05,51499,0,28490,16593,1873,4111,432
2018-08-06,128439,0,31066,89836,2133,5003,401
2018-08-07,215812,0,29796,177757,2006,5888,365
2018-08-08,128064,0,33282,87254,2085,5048,395
2018-08-09,185989,0,33104,144330,2371,5707,477
2018-08-10,227964,0,31437,186993,2168,6913,453
2018-08-11,308755,0,30413,270125,1825,5991,401
2018-08-12,242177,0,31028,201858,2025,6762,504
2018-08-13,304219,0,32574,261792,2205,7264,384
2018-08-14,173983,0,33113,130780,2432,7329,329
2018-08-15,196275,0,34844,150468,2227,8312,424
2018-08-16,192810,0,33558,149788,2160,6931,373
2018-08-17,373635,0,57509,306951,2325,6454,396
2018-08-18,308364,0,62955,236928,2092,5955,434
2018-08-19,416512,0,86756,319118,2118,7881,639
2018-08-20,335128,0,64142,261206,2206,7089,485
2018-08-21,206602,0,46131,150535,2276,7174,486
2018-08-22,227853,0,48275,169890,2355,6833,500
2018-08-23,174091,0,35309,130325,2234,5815,408
2018-08-24,144456,0,26785,108016,2288,6943,424
2018-08-25,147346,0,27666,109673,2279,7265,463
2018-08-26,136888,0,25871,100836,2276,7269,636
2018-08-27,300956,0,63176,227074,2605,7655,446
2018-08-28,320096,0,67945,240780,2737,8104,530
2018-08-29,345334,0,71649,262391,2741,7966,587
2018-08-30,394681,0,64390,320005,2557,7206,523
2018-08-31,440161,0,66993,363528,2441,6704,495
2018-09-01,356093,0,69634,278217,2426,5429,387
2018-09-02,238220,0,69473,160172,2237,5899,439
2018-09-03,264002,0,68146,186239,2423,6851,343
2018-09-04,274567,0,71763,194311,2373,5815,305
2018-09-05,261320,0,70929,181804,2728,5519,340
2018-09-06,351152,0,70950,271014,2455,6382,351
2018-09-07,313254,0,68847,236247,2124,5706,330
2018-09-08,331727,0,71047,252942,2357,5000,381
2018-09-09,257177,0,68601,180696,2239,5316,325
2018-09-10,212202,0,69971,132926,2148,5679,1478
2018-09-11,221218,0,72196,141047,2115,5433,427
2018-09-12,203944,0,69947,126512,2073,5087,325
2018-09-13,199010,0,70962,113963,2230,6057,5798
2018-09-14,202483,0,71342,118063,1993,4524,6561
2018-09-15,201991,0,70465,124103,1953,4980,490
2018-09-16,193534,0,70448,115891,2197,4659,339
2018-09-17,205172,0,70194,126708,2064,4234,1972
2018-09-18,194738,0,68522,118939,1836,4708,733
2018-09-19,224192,0,72628,144697,2028,4537,302
2018-09-20,241542,0,87399,144121,2551,5043,2428
2018-09-21,248507,0,83536,157069,2516,5002,384
2018-09-22,216569,0,76288,133398,2028,4442,413
2018-09-23,220086,0,74087,138191,2193,5099,516
2018-09-24,242281,0,75204,159138,2395,4536,1008
2018-09-25,253674,0,78286,166749,2157,5029,1453
2018-09-26,245224,0,76807,160424,2089,5410,494
2018-09-27,199596,0,60525,133276,1599,3820,376
2018-09-28,232149,0,74107,149752,2464,5210,616
2018-09-29,339467,0,73760,258397,1996,4780,534
2018-09-30,363035,0,76824,277060,2191,6259,701
2018-10-01,302269,0,73232,220623,2207,5687,520
2018-10-02,260611,0,74997,175688,2242,7032,652
2018-10-03,227725,0,74866,139823,2414,9780,842
2018-10-04,236384,0,74907,149478,2511,8996,492
2018-10-05,245360,0,76919,156040,2348,9623,430
2018-10-06,238350,0,77818,148048,2542,9268,674
2018-10-07,259950,0,78914,168437,2804,9139,656
2018-10-08,240334,0,87690,139028,3217,9868,531
2018-10-09,150991,0,56887,82155,2777,8641,531
2018-10-10,129878,0,37760,78895,2875,9335,1013
2018-10-11,84300,17,30760,44655,2272,6245,351
2018-10-12,190650,3551,72324,103014,3051,8238,472
2018-10-13,244238,44667,78987,107811,2797,9547,429
2018-10-14,222854,15695,77680,116736,2663,9663,417
2018-10-15,219722,15427,80047,113480,3111,7318,339
2018-10-16,170347,21226,51680,86379,2735,6105,2222
2018-10-17,222405,92969,66146,52223,2756,7941,370
2018-10-18,599703,465644,82200,40705,2727,8005,422
2018-10-19,630072,483022,84872,51381,2763,7301,733
2018-10-20,593320,413641,80951,89098,2600,6603,427
2018-10-21,517915,301237,80044,124588,2654,8899,493
2018-10-22,475295,304904,82050,79099,2861,5915,466
2018-10-23,509706,294795,97843,107429,2820,5270,1549
2018-10-24,795865,392352,96966,296827,2885,6335,500
2018-10-25,901430,393273,91766,407355,2811,5067,1158
2018-10-26,754485,462007,92794,190560,2721,5886,517
2018-10-27,824891,503451,80369,231117,2685,6786,483
2018-10-28,653251,492361,39228,112664,2842,5477,679
2018-10-29,572933,405717,34976,122560,3171,5740,769
2018-10-30,637194,513262,41031,73450,3091,5927,433
2018-10-31,718516,598860,43864,66843,2938,5590,421
2018-11-01,706888,593885,40649,61362,2711,5966,2315
